	Text	Vaccine content	Vaccine safety	text_clean	Filter	text_without_stopwords	text_wo_filter_word
13	Updated Covid-19 vaccines are coming mid-September, officials say #Europe #China #Infections #Britain #CDC #WHO #COVID19 #VirusCrisis #USA #Pandemic #DrAnthonyFauci #Testing #Mandates #Masks #Deaths #Vaccine #Variantshttps://t.co/kiFXPtfA3Z	1	0	updated covid  vaccine  are coming midseptember officials say europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	COVID	updated covid vaccine coming midseptember officials say europe china infections britain cdc covid viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	updated covid  vaccine  are coming midseptember officials say europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants
14	What to know about the new COVID vaccine booster shots that are on the way.  https://t.co/Vfk9ecCSpa	1	0	what to know about the new covid vaccine booster shots that are on the way  	COVID	know new covid vaccine booster shots way	what to know about the new covid vaccine booster shots that are on the way  
15	What to know about vaccines for COVID-19, RSV and the flu:  VERIFY Fact Sheet https://t.co/5K5EvBjRaR	1	0	what to know about vaccine  for covid  rsv and the flu  verify fact sheet 	COVID	know vaccine covid rsv flu verify fact sheet	what to know about vaccine  for covid  rsv and the flu  verify fact sheet 
0	"brevard county gop: covid-19 vaccine is a bioweapon   https://t.co/iutf1x9utp (""…whereas strong and credible evidence has recently been revealed that covid-19 and covid-19 injections are biological and technological weapons…."") 13jul23 #bioweapon #vaxisbioweapon"	1	1	brevard county gop covid  vaccine is a bioweapon    whereas strong and credible evidence has recently been revealed that covid  and covid  injections are biological and technological weapons 13jul23 bioweapon vax sbioweapon	COVID-19	brevard county gop covid vaccine bioweapon whereas strong credible evidence recently revealed covid covid injections biological technological weapons 13jul23 bioweapon vax sbioweapon	brevard county gop covid  vaccine is a bioweapon    whereas strong and credible evidence has recently been revealed that covid  and covid  injections are biological and technological weapons 13jul23 bioweapon vax sbioweapon
1	"emily edwards spent over a year in the hospital with complications from guillain-barré syndrome after getting the pfizer covid-19 vaccine. now pain and restricted mobility are ""pretty much a forever deal"" for her. but she hopes her story can help others. https://t.co/dcoswepk30"	1	1	emily edwards spent over a year in the hospital with complications from guillainbarré syndrome after getting the pfizer covid  vaccine  now pain and restricted mobility are pretty much a forever deal for her but she hopes her story can help others 	COVID-19	emily edwards spent year hospital complications guillainbarré syndrome getting pfizer covid vaccine pain restricted mobility pretty much forever deal hopes story help others	emily edwards spent over a year in the hospital with complications from guillainbarré syndrome after getting the pfizer covid  vaccine  now pain and restricted mobility are pretty much a forever deal for her but she hopes her story can help others 
2	florida county gop declares covid-19 and mrna covid vaccine a 'bioweapon' https://t.co/bxkq6wyxcq #gatewaypundit via @gatewaypundit	1	1	florida county gop declares covid  and mrna covid vaccine a bioweapon  gatewaypundit via 	COVID-19	florida county gop declares covid mrna covid vaccine bioweapon gatewaypundit via	florida county gop declares covid  and mrna covid vaccine a bioweapon  gatewaypundit via 
5	safe and effective, covid-19 vaccines have been shown to prevent severe illness, hospitalization, death. visit @cdc – https://t.co/okapxrj0nc to arm yourself with the facts. learn about nasw's campaign to promote vaccine confidence: https://t.co/m0yafaplsw @nasw @naswfoundation https://t.co/sx9d24z7bf	1	1	safe and effective covid  vaccine  have been shown to prevent severe illness hospitalization death visit    to arm yourself with the facts learn about nasws campaign to promote vaccine confidence    	COVID-19	safe effective covid vaccine shown prevent severe illness hospitalization death visit arm facts learn nasws campaign promote vaccine confidence	safe and effective covid  vaccine  have been shown to prevent severe illness hospitalization death visit    to arm yourself with the facts learn about nasws campaign to promote vaccine confidence    
6	"""BA.2.86 may be more capable of causing infection in people who have previously had COVID-19 or who have received COVID-19 vaccines."" https://t.co/u7Ed8W5DDD PLEASE get the booster this fall. This may be severe and DEADLY. If you don't get one you should be in prison and beaten."	1	0	ba286 may be more capable of causing infection in people who have previously had covid  or who have received covid  vaccine   please get the booster this fall this may be severe and deadly if you dont get one you should be in prison and beaten	COVID-19	ba286 may capable causing infection people previously covid received covid vaccine please get booster fall may severe deadly dont get one prison beaten	ba286 may be more capable of causing infection in people who have previously had covid  or who have received covid  vaccine   please get the booster this fall this may be severe and deadly if you dont get one you should be in prison and beaten
7	"""Birx spoke to the ABC News' podcast about why she says the government is living in ""a bit of a fantasy world"" when it comes to the COVID-19 response. Birx also explains why she believes that the next month's vaccine booster is coming weeks too late."" https://t.co/qCgDJiPHby"	1	0	birx spoke to the abc news podcast about why she says the government is living in a bit of a fantasy world when it comes to the covid  response birx also explains why she believes that the next months vaccine booster is coming weeks too late 	COVID-19	birx spoke abc news podcast says government living bit fantasy world comes covid response birx also explains believes next months vaccine booster coming weeks late	birx spoke to the abc news podcast about why she says the government is living in a bit of a fantasy world when it comes to the covid  response birx also explains why she believes that the next months vaccine booster is coming weeks too late 
8	"12-15-22:  Trento, Italy:""Since 2021, we have witnessed changes in the dominant COVID-19 variant, changes in the vaccine rollout, a shift of the infection rate toward younger age groups, and a massive reduction in the severity and deadliness of COVID-19""https://t.co/1FEEl80SBy https://t.co/2JwJ5wV2Ck"	1	0	121522  trento italysince 2021 we have witnessed changes in the dominant covid  variant changes in the vaccine rollout a shift of the infection rate toward younger age groups and a massive reduction in the severity and deadliness of covid  	COVID-19	121522 trento italysince 2021 witnessed changes dominant covid variant changes vaccine rollout shift infection rate toward younger age groups massive reduction severity deadliness covid	121522  trento italysince 2021 we have witnessed changes in the dominant covid  variant changes in the vaccine rollout a shift of the infection rate toward younger age groups and a massive reduction in the severity and deadliness of covid  
9	"A new study reveals 52 US doctors shared misinformation about COVID-19 on social media and other online platforms, including the claim that ""most who took COVID vaccines will be dead by 2025.""https://t.co/iDttG8UBi1"	1	0	a new study reveals 52 us doctors shared misinformation about covid  on social media and other online platforms including the claim that most who took covid vaccine  will be dead by 2025	COVID-19	new study reveals 52 us doctors shared misinformation covid social media online platforms including claim took covid vaccine dead 2025	a new study reveals 52 us doctors shared misinformation about covid  on social media and other online platforms including the claim that most who took covid vaccine  will be dead by 2025
10	As COVID-19 reminded us, monitoring a virus, and the effectiveness of its vaccines, requires a global perspective. Early data from South America suggests good news for the upcoming flu season — at least, for those who get their shots.https://t.co/pq0BTCAvvb	1	0	as covid  reminded us monitoring a virus and the effectiveness of its vaccine  requires a global perspective early data from south america suggests good news for the upcoming flu season  at least for those who get their shots	COVID-19	covid reminded us monitoring virus effectiveness vaccine requires global perspective early data south america suggests good news upcoming flu season least get shots	as covid  reminded us monitoring a virus and the effectiveness of its vaccine  requires a global perspective early data from south america suggests good news for the upcoming flu season  at least for those who get their shots
11	BREAKING: New COVID-19 Vaccines Coming, 'We Will FORCE Them on You' | Elijah Schaffer's Top 5 (VIDEO) https://t.co/r7rKi2cxXY #gatewaypundit via @gatewaypundit	1	0	breaking new covid  vaccine  coming we will force them on you  elijah schaffers top 5 video  gatewaypundit via 	COVID-19	breaking new covid vaccine coming force elijah schaffers top 5 video gatewaypundit via	breaking new covid  vaccine  coming we will force them on you  elijah schaffers top 5 video  gatewaypundit via 
12	Breaking: 🚨 Doube vaccinated, triple boosted Fake Doctor Jill Biden has tested positive for COVID-19 again! https://t.co/XbQ94L1HWy	1	0	breaking  doube vaccinated triple boosted fake doctor jill biden has tested positive for covid  again 	COVID-19	breaking doube vaccinated triple boosted fake doctor jill biden tested positive covid	breaking  doube vaccinated triple boosted fake doctor jill biden has tested positive for covid  again 
13	Covid Cover-Up Explained | Animation by @0rf They created COVID-19 in a lab and released it upon the world.  Then they pushed a deadly jab on the world!#CrimesAgainstHumanity The world deserves to see these people on trial!  #Nuremberg2https://t.co/Tx0Gtg4Ez2	1	0	covid coverup explained  animation by  they created covid  in a lab and released it upon the world  then they pushed a deadly jab on the worldcrimesagainsthumanity the world deserves to see these people on trial  nuremberg2	COVID-19	covid coverup explained animation created covid lab released upon world pushed deadly jab worldcrimesagainsthumanity world deserves see people trial nuremberg2	covid coverup explained  animation by  they created covid  in a lab and released it upon the world  then they pushed a deadly jab on the worldcrimesagainsthumanity the world deserves to see these people on trial  nuremberg2
14	"COVID-19 cases are creeping back up in Chicago. The city is seeing a rise in lab-confirmed cases and emergency room visits. A new vaccine is expected to be ready for the fall season. ""I think it's important to remember that COVID's not gone. It's here.""https://t.co/OWGdtGl3jz"	1	0	covid  cases are creeping back up in chicago the city is seeing a rise in labconfirmed cases and emergency room visits a new vaccine is expected to be ready for the fall season i think its impoant to remember that covid s not gone its here	COVID-19	covid cases creeping back chicago city seeing rise labconfirmed cases emergency room visits new vaccine expected ready fall season think impoant remember covid gone	covid  cases are creeping back up in chicago the city is seeing a rise in labconfirmed cases and emergency room visits a new vaccine is expected to be ready for the fall season i think its impoant to remember that covid s not gone its here
15	"COVID-19 is back! Be safe and join the ""Vax Scene"" https://t.co/tmM9DiErYT"	1	0	covid  is back be safe and join the vax scene 	COVID-19	covid back safe join vax scene	covid  is back be safe and join the vax scene 
16	COVID-19 vaccines, the FBI's handling of a Hunter Biden's laptop and election fraud allegations were among the topics spotlighted in the lawsuit, which accused the Biden administration of using threats to squelch conservative points of view. https://t.co/iD9OoCmFC6	1	0	covid  vaccine  the fbis handling of a hunter bidens laptop and election fraud allegations were among the topics spotlighted in the lawsuit which accused the biden administration of using threats to squelch conservative points of view 	COVID-19	covid vaccine fbis handling hunter bidens laptop election fraud allegations among topics spotlighted lawsuit accused biden administration using threats squelch conservative points view	covid  vaccine  the fbis handling of a hunter bidens laptop and election fraud allegations were among the topics spotlighted in the lawsuit which accused the biden administration of using threats to squelch conservative points of view 
17	Despite injections starting in December 2020, and more than 1.5 million reports being lodged with the Vaccine Adverse Event Reporting System.  HHS has compensated just four people, paying $8,592 in total. https://t.co/XcCwnj55vl	1	0	despite injections staing in december 2020 and more than 15 million repos being lodged with the vaccine adverse event repoing system  hhs has compensated just four people paying 852 in total 	COVID-19	despite injections staing december 2020 15 million repos lodged vaccine adverse event repoing system hhs compensated four people paying 852 total	despite injections staing in december 2020 and more than 15 million repos being lodged with the vaccine adverse event repoing system  hhs has compensated just four people paying 852 in total 
18	First lady Jill Biden tests positive for COVID-19 for second timeBiden will tell everyone to comply and get the new shot … but we are seeing first hand it's useless!https://t.co/kjwGPOgDW8	1	0	first lady jill biden tests positive for covid  for second timebiden will tell everyone to comply and get the new shot  but we are seeing first hand its useless	COVID-19	first lady jill biden tests positive covid second timebiden tell everyone comply get new shot seeing first hand useless	first lady jill biden tests positive for covid  for second timebiden will tell everyone to comply and get the new shot  but we are seeing first hand its useless
19	Healthy &amp; COVID-19 Vaccinated? Join our research study. Non-smoking males and females age 18-55. Females must be of non-childbearing potential. Compensation up to $10,000.https://t.co/CTXJlOgXas#ICONSanAntonio #HealthyAdults https://t.co/OX0gXFFT85	1	0	healthy  covid  vaccinated join our research study nonsmoking males and females age 1855 females must be of nonchildbearing potential compensation up to 10000 healthyadults 	COVID-19	healthy covid vaccinated join research study nonsmoking males females age 1855 females must nonchildbearing potential compensation 10000 healthyadults	healthy  covid  vaccinated join our research study nonsmoking males and females age 1855 females must be of nonchildbearing potential compensation up to 10000 healthyadults 
20	HHS awards $1.4 billion to drive development of new Covid-19 vaccines and therapiesYOU MEAN BILLIONS AND MILLIONS OF DOLLARS MADE BY THE PHARMA COMPANIES WHO DO THIS ISN'T ENOUGH? https://t.co/2u9Pn0Zv5aYOU KNOW THE MASK ROUTINE WILL BE OUT THERE TO SUBSTANTIATE THIS EXPENSE	1	0	hhs awards 14 billion to drive development of new covid  vaccine  and therapiesyou mean billions and millions of dollars made by the pharma companies who do this isnt enough  know the mask routine will be out there to substantiate this expense	COVID-19	hhs awards 14 billion drive development new covid vaccine therapiesyou mean billions millions dollars made pharma companies isnt enough know mask routine substantiate expense	hhs awards 14 billion to drive development of new covid  vaccine  and therapiesyou mean billions and millions of dollars made by the pharma companies who do this isnt enough  know the mask routine will be out there to substantiate this expense
21	Honoring wisdom, embracing protection. If you're a senior or caring for one, safeguard your health and cherished moments by getting the COVID-19 vaccine. Let's cherish the golden years with an extra layer of security. Find yours: https://t.co/rJEQzcSS99 or call 832-97-8787. https://t.co/nKuj6O5Eps	1	0	honoring wisdom embracing protection if youre a senior or caring for one safeguard your health and cherished moments by getting the covid  vaccine  lets cherish the golden years with an extra layer of security find yours  or call 83278787 	COVID-19	honoring wisdom embracing protection youre senior caring one safeguard health cherished moments getting covid vaccine lets cherish golden years extra layer security find call 83278787	honoring wisdom embracing protection if youre a senior or caring for one safeguard your health and cherished moments by getting the covid  vaccine  lets cherish the golden years with an extra layer of security find yours  or call 83278787 
22	HOW CONVENIENT: CDC Committed $1.8 Billion for Pediatric COVID-19 Vaccines in June, Anticipates 20 Million Doses by September https://t.co/j4UBDsSu9N #gatewaypundit via @gatewaypundit	1	0	how convenient cdc committed 18 billion for pediatric covid  vaccine  in june anticipates 20 million doses by september  gatewaypundit via 	COVID-19	convenient cdc committed 18 billion pediatric covid vaccine june anticipates 20 million doses september gatewaypundit via	how convenient cdc committed 18 billion for pediatric covid  vaccine  in june anticipates 20 million doses by september  gatewaypundit via 
23	How soon can you get the new COVID-19 shot? https://t.co/PwwEzNWLex https://t.co/h3Lax8BjdO	1	0	how soon can you get the new covid  shot  	COVID-19	soon get new covid shot	how soon can you get the new covid  shot  
25	I filed 13 amendments to this year's NDAA to make our nation safer and stronger. To name a few:- Military personnel who chose to avoid the COVID-19 vaccine should be reinstated with backpay- DEI activities should not be funded in the Armed Forces- State sponsors of terrorism	1	0	i filed 13 amendments to this years ndaa to make our nation safer and stronger to name a few military personnel who chose to avoid the covid  vaccine should be reinstated with backpay dei activities should not be funded in the armed forces state sponsors of terrorism	COVID-19	filed 13 amendments years ndaa make nation safer stronger name military personnel chose avoid covid vaccine reinstated backpay dei activities funded armed forces state sponsors terrorism	i filed 13 amendments to this years ndaa to make our nation safer and stronger to name a few military personnel who chose to avoid the covid  vaccine should be reinstated with backpay dei activities should not be funded in the armed forces state sponsors of terrorism
26	Inevitably, it's time to think about the usual suspects — influenza and COVID-19 shots — but also the new kid in town: recently approved vaccines for RSV, short for respiratory syncytial virus.https://t.co/XIwOyrShXA	1	0	inevitably its time to think about the usual suspects  influenza and covid  shots  but also the new kid in town recently approved vaccine  for rsv sho for respiratory syncytial virus	COVID-19	inevitably time think usual suspects influenza covid shots also new kid town recently approved vaccine rsv sho respiratory syncytial virus	inevitably its time to think about the usual suspects  influenza and covid  shots  but also the new kid in town recently approved vaccine  for rsv sho for respiratory syncytial virus
27	Judge reinstates NY nurse who was terminated over refusing Covid-19 vaccine https://t.co/ecGbuC7C4J	1	0	judge reinstates ny nurse who was terminated over refusing covid  vaccine 	COVID-19	judge reinstates ny nurse terminated refusing covid vaccine	judge reinstates ny nurse who was terminated over refusing covid  vaccine 
28	Judge Rules Teachers Can Get Jobs Back With Back Pay After Refusing COVID-19 Vaccine https://t.co/yxMbwYoslV	1	0	judge rules teachers can get jobs back with back pay after refusing covid  vaccine 	COVID-19	judge rules teachers get jobs back back pay refusing covid vaccine	judge rules teachers can get jobs back with back pay after refusing covid  vaccine 
29	Military Should Apologize to Members Kicked Out for Refusing COVID-19 Vaccine: GOP Senate Candidate https://t.co/Kr06ZL1jc4 via @epochtimes	1	0	military should apologize to members kicked out for refusing covid  vaccine gop senate candidate  via 	COVID-19	military apologize members kicked refusing covid vaccine gop senate candidate via	military should apologize to members kicked out for refusing covid  vaccine gop senate candidate  via 
30	Moderna's stock rises by 2% amid increasing COVID-19 cases in the U.S. Higher vaccine demand and potential booster shots could drive further growth. #Moderna #StockMarket https://t.co/G7L7LSuFpL	1	0	modernas stock rises by 2 amid increasing covid  cases in the us higher vaccine demand and potential booster shots could drive fuher growth moderna stockmarket 	COVID-19	modernas stock rises 2 amid increasing covid cases us higher vaccine demand potential booster shots could drive fuher growth moderna stockmarket	modernas stock rises by 2 amid increasing covid  cases in the us higher vaccine demand and potential booster shots could drive fuher growth moderna stockmarket 
31	"New #AdvancingHealth episode: ""Vaccine Trust in Marginalized Communities With Children's National Hospital"" with  Claire O'Connell Boogaard, M.D., @ChildrensNatl pediatrician and COVID-19 vaccine program medical director. Listen now: https://t.co/B6QBusZk7O https://t.co/8s0Bh6Sdj2"	1	0	new advancinghealth episode vaccine trust in marginalized communities with childrens national hospital with  claire oconnell boogaard md  pediatrician and covid  vaccine program medical director listen now  	COVID-19	new advancinghealth episode vaccine trust marginalized communities childrens national hospital claire oconnell boogaard md pediatrician covid vaccine program medical director listen	new advancinghealth episode vaccine trust in marginalized communities with childrens national hospital with  claire oconnell boogaard md  pediatrician and covid  vaccine program medical director listen now  
32	No, the @CDCgov did not say the new COVID-19 variant is more contagious among vaccinated people than unvaccinated people. That claim distorts a line in a CDC memo that actually says the new strain could be more contagious than past strains.https://t.co/xxH2HLNhdI	1	0	no the  did not say the new covid  variant is more contagious among vaccinated people than unvaccinated people that claim distos a line in a cdc memo that actually says the new strain could be more contagious than past strains	COVID-19	say new covid variant contagious among vaccinated people unvaccinated people claim distos line cdc memo actually says new strain could contagious past strains	no the  did not say the new covid  variant is more contagious among vaccinated people than unvaccinated people that claim distos a line in a cdc memo that actually says the new strain could be more contagious than past strains
33	Pfizer COVID-19 Jab Contract Released Through Court Order https://t.co/3w3nHEGBRP #DailyNoahNews via @DailyNoahNews	1	0	pfizer covid  jab contract released through cou order  dailynoahnews via 	COVID-19	pfizer covid jab contract released cou order dailynoahnews via	pfizer covid  jab contract released through cou order  dailynoahnews via 
34	So when a person gets vaccinated, you do NOT get the ailments of a virus or disease. That's the point of a vax. Covid shot does NOT work! Joe Rogan and Bill Maher say claim COVID-19 vaccine was 100% effective was 'crazy' | Washington Examiner https://t.co/F7pv0knIfY	1	0	so when a person gets vaccinated you do not get the ailments of a virus or disease thats the point of a vax  covid shot does not work joe rogan and bill maher say claim covid  vaccine was 100 effective was crazy  washington examiner 	COVID-19	person gets vaccinated get ailments virus disease thats point vax covid shot work joe rogan bill maher say claim covid vaccine 100 effective crazy washington examiner	so when a person gets vaccinated you do not get the ailments of a virus or disease thats the point of a vax  covid shot does not work joe rogan and bill maher say claim covid  vaccine was 100 effective was crazy  washington examiner 
35	Subscribe!Quality info and programs. https://t.co/0QLjlZ8Qyp	1	0	subscribequality info and programs 	COVID-19	subscribequality info programs	subscribequality info and programs 
36	The CDC says the BA.2.86 COVID-19 variant 'may be more capable of causing infection' in those who have been vaccinated.  https://t.co/pzjoYwShtR	1	0	the cdc says the ba286 covid  variant may be more capable of causing infection in those who have been vaccinated  	COVID-19	cdc says ba286 covid variant may capable causing infection vaccinated	the cdc says the ba286 covid  variant may be more capable of causing infection in those who have been vaccinated  
37	The Fast-Spreading New COVID-19 Subvariant XBB Is Part of a 'New Class' of Omicron #Europe #China #Infections #Britain #CDC #WHO #COVID19 #VirusCrisis #USA #Pandemic #DrAnthonyFauci #Testing #Mandates #Masks #Deaths #Vaccine #Variantshttps://t.co/ag4qzKUsW6	1	0	the fastspreading new covid  subvariant xbb is pa of a new class of omicron europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	COVID-19	fastspreading new covid subvariant xbb pa new class omicron europe china infections britain cdc covid viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	the fastspreading new covid  subvariant xbb is pa of a new class of omicron europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants
38	The most important information you could share with all those who are suffering from medical issues since getting jabbedhttps://t.co/aAi4WC9YbV https://t.co/URNEXQdCn4	1	0	the most impoant information you could share with all those who are suffering from medical issues since getting jabbed 	COVID-19	impoant information could share suffering medical issues since getting jabbed	the most impoant information you could share with all those who are suffering from medical issues since getting jabbed 
39	The WHO said it will take up the European Union's digital COVID-19 vaccine passport framework as part of a new global network of digital health certificates./1	1	0	the who said it will take up the european unions digital covid  vaccine passpo framework as pa of a new global network of digital health ceificates1	COVID-19	said take european unions digital covid vaccine passpo framework pa new global network digital health ceificates1	the who said it will take up the european unions digital covid  vaccine passpo framework as pa of a new global network of digital health ceificates1
40	This is the ultimate bundle that has literally everything you need to teach your students about viruses and vaccines, including COVID-19. #COVID19 #viruses #vaccines #mrna #teachertwitter https://t.co/9WSY0LMHaC https://t.co/yOSq8cMd6J	1	0	this is the ultimate bundle that has literally everything you need to teach your students about viruses and vaccine  including covid  covid  viruses vaccine  mrna teachewitter  	COVID-19	ultimate bundle literally everything need teach students viruses vaccine including covid covid viruses vaccine mrna teachewitter	this is the ultimate bundle that has literally everything you need to teach your students about viruses and vaccine  including covid  covid  viruses vaccine  mrna teachewitter  
41	"This young man gives us hope... He tells Fauci &amp; Biden exactly where they can stick it...""COVID-19, the pandemic it's over. We don't care anymore. The people who wanted the vaccine, they already got it. The people who don't want the vaccine, we're still not going to get it,… https://t.co/BlHdqDTxBp"	1	0	this young man gives us hope he tells fauci  biden exactly where they can stick itcovid  the pandemic its over we dont care anymore the people who wanted the vaccine  they already got it the people who dont want the vaccine  were still not going to get it 	COVID-19	young man gives us hope tells fauci biden exactly stick itcovid pandemic dont care anymore people wanted vaccine already got people dont want vaccine still going get	this young man gives us hope he tells fauci  biden exactly where they can stick itcovid  the pandemic its over we dont care anymore the people who wanted the vaccine  they already got it the people who dont want the vaccine  were still not going to get it 
42	Updated Covid-19 vaccines are coming mid-September, officials say #Europe #China #Infections #Britain #CDC #WHO #COVID19 #VirusCrisis #USA #Pandemic #DrAnthonyFauci #Testing #Mandates #Masks #Deaths #Vaccine #Variantshttps://t.co/kiFXPtfA3Z	1	0	updated covid  vaccine  are coming midseptember officials say europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	COVID-19	updated covid vaccine coming midseptember officials say europe china infections britain cdc covid viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants	updated covid  vaccine  are coming midseptember officials say europe china infections britain cdc who covid  viruscrisis usa pandemic dranthonyfauci testing mandates masks deaths vaccine variants
43	Watch 👀 The viral Facebook post on #Covid XBB is False! #SpreadTheWord https://t.co/x1Owztu6RWFake 👇🏾 https://t.co/LqqCGiPlmi	1	0	watch  the viral facebook post on covid xbb is false spreadtheword   	COVID-19	watch viral facebook post covid xbb false spreadtheword	watch  the viral facebook post on covid xbb is false spreadtheword   
44	WATCH: @BrianHooke15036 exposes the REAL science behind the vaccination schedule — including the COVID-19 vacine — today on @KimIversenShow @ 4pm PT // 7pm ET #VaxUnvax https://t.co/jfxxWHeObr	1	0	watch  exposes the real science behind the vaccination schedule  including the covid  vacine  today on   4pm pt  7pm et vax nvax 	COVID-19	watch exposes real science behind vaccination schedule including covid vacine today 4pm pt 7pm et vax nvax	watch  exposes the real science behind the vaccination schedule  including the covid  vacine  today on   4pm pt  7pm et vax nvax 
45	What to know about vaccines for COVID-19, RSV and the flu:  VERIFY Fact Sheet https://t.co/5K5EvBjRaR	1	0	what to know about vaccine  for covid  rsv and the flu  verify fact sheet 	COVID-19	know vaccine covid rsv flu verify fact sheet	what to know about vaccine  for covid  rsv and the flu  verify fact sheet 
