	Text	Vaccine content	Vaccine safety	Filter
0	"brevard county gop: covid-19 vaccine is a bioweapon   https://t.co/iutf1x9utp (""…whereas strong and credible evidence has recently been revealed that covid-19 and covid-19 injections are biological and technological weapons…."") 13jul23 #bioweapon #vaxisbioweapon"	1	1	COVID-19
1	"emily edwards spent over a year in the hospital with complications from guillain-barré syndrome after getting the pfizer covid-19 vaccine. now pain and restricted mobility are ""pretty much a forever deal"" for her. but she hopes her story can help others. https://t.co/dcoswepk30"	1	1	COVID-19
2	florida county gop declares covid-19 and mrna covid vaccine a 'bioweapon' https://t.co/bxkq6wyxcq #gatewaypundit via @gatewaypundit	1	1	COVID-19
3	https://t.co/3kzgczvvbi	1	1	COVID-19
4	https://t.co/fvfiehgkhu	1	1	COVID-19
5	safe and effective, covid-19 vaccines have been shown to prevent severe illness, hospitalization, death. visit @cdc – https://t.co/okapxrj0nc to arm yourself with the facts. learn about nasw's campaign to promote vaccine confidence: https://t.co/m0yafaplsw @nasw @naswfoundation https://t.co/sx9d24z7bf	1	1	COVID-19
6	"""ba.2.86 may be more capable of causing infection in people who have previously had covid-19 or who have received covid-19 vaccines."" https://t.co/u7ed8w5ddd please get the booster this fall. this may be severe and deadly. if you don't get one you should be in prison and beaten."	1	0	COVID-19
7	"""birx spoke to the abc news' podcast about why she says the government is living in ""a bit of a fantasy world"" when it comes to the covid-19 response. birx also explains why she believes that the next month's vaccine booster is coming weeks too late."" https://t.co/qcgdjiphby"	1	0	COVID-19
8	"12-15-22:  trento, italy:""since 2021, we have witnessed changes in the dominant covid-19 variant, changes in the vaccine rollout, a shift of the infection rate toward younger age groups, and a massive reduction in the severity and deadliness of covid-19""https://t.co/1feel80sby https://t.co/2jwj5wv2ck"	1	0	COVID-19
9	"a new study reveals 52 us doctors shared misinformation about covid-19 on social media and other online platforms, including the claim that ""most who took covid vaccines will be dead by 2025.""https://t.co/idttg8ubi1"	1	0	COVID-19
10	as covid-19 reminded us, monitoring a virus, and the effectiveness of its vaccines, requires a global perspective. early data from south america suggests good news for the upcoming flu season — at least, for those who get their shots.https://t.co/pq0btcavvb	1	0	COVID-19
11	breaking: new covid-19 vaccines coming, 'we will force them on you' | elijah schaffer's top 5 (video) https://t.co/r7rki2cxxy #gatewaypundit via @gatewaypundit	1	0	COVID-19
12	breaking: 🚨 doube vaccinated, triple boosted fake doctor jill biden has tested positive for covid-19 again! https://t.co/xbq94l1hwy	1	0	COVID-19
13	covid cover-up explained | animation by @0rf they created covid-19 in a lab and released it upon the world.  then they pushed a deadly jab on the world!#crimesagainsthumanity the world deserves to see these people on trial!  #nuremberg2https://t.co/tx0gtg4ez2	1	0	COVID-19
14	"covid-19 cases are creeping back up in chicago. the city is seeing a rise in lab-confirmed cases and emergency room visits. a new vaccine is expected to be ready for the fall season. ""i think it's important to remember that covid's not gone. it's here.""https://t.co/owgdtgl3jz"	1	0	COVID-19
15	"covid-19 is back! be safe and join the ""vax scene"" https://t.co/tmm9dieryt"	1	0	COVID-19
16	covid-19 vaccines, the fbi's handling of a hunter biden's laptop and election fraud allegations were among the topics spotlighted in the lawsuit, which accused the biden administration of using threats to squelch conservative points of view. https://t.co/id9oocmfc6	1	0	COVID-19
17	despite injections starting in december 2020, and more than 1.5 million reports being lodged with the vaccine adverse event reporting system.  hhs has compensated just four people, paying $8,592 in total. https://t.co/xccwnj55vl	1	0	COVID-19
18	first lady jill biden tests positive for covid-19 for second timebiden will tell everyone to comply and get the new shot … but we are seeing first hand it's useless!https://t.co/kjwgpogdw8	1	0	COVID-19
19	healthy &amp; covid-19 vaccinated? join our research study. non-smoking males and females age 18-55. females must be of non-childbearing potential. compensation up to $10,000.https://t.co/ctxjlogxas#iconsanantonio #healthyadults https://t.co/ox0gxfft85	1	0	COVID-19
20	hhs awards $1.4 billion to drive development of new covid-19 vaccines and therapiesyou mean billions and millions of dollars made by the pharma companies who do this isn't enough? https://t.co/2u9pn0zv5ayou know the mask routine will be out there to substantiate this expense	1	0	COVID-19
21	honoring wisdom, embracing protection. if you're a senior or caring for one, safeguard your health and cherished moments by getting the covid-19 vaccine. let's cherish the golden years with an extra layer of security. find yours: https://t.co/rjeqzcss99 or call 832-97-8787. https://t.co/nkuj6o5eps	1	0	COVID-19
22	how convenient: cdc committed $1.8 billion for pediatric covid-19 vaccines in june, anticipates 20 million doses by september https://t.co/j4ubdssu9n #gatewaypundit via @gatewaypundit	1	0	COVID-19
23	how soon can you get the new covid-19 shot? https://t.co/pwweznwlex https://t.co/h3lax8bjdo	1	0	COVID-19
24	https://t.co/khsj4zc3ur	1	0	COVID-19
25	i filed 13 amendments to this year's ndaa to make our nation safer and stronger. to name a few:- military personnel who chose to avoid the covid-19 vaccine should be reinstated with backpay- dei activities should not be funded in the armed forces- state sponsors of terrorism	1	0	COVID-19
26	inevitably, it's time to think about the usual suspects — influenza and covid-19 shots — but also the new kid in town: recently approved vaccines for rsv, short for respiratory syncytial virus.https://t.co/xiwoyrshxa	1	0	COVID-19
27	judge reinstates ny nurse who was terminated over refusing covid-19 vaccine https://t.co/ecgbuc7c4j	1	0	COVID-19
28	judge rules teachers can get jobs back with back pay after refusing covid-19 vaccine https://t.co/yxmbwyoslv	1	0	COVID-19
29	military should apologize to members kicked out for refusing covid-19 vaccine: gop senate candidate https://t.co/kr06zl1jc4 via @epochtimes	1	0	COVID-19
30	moderna's stock rises by 2% amid increasing covid-19 cases in the u.s. higher vaccine demand and potential booster shots could drive further growth. #moderna #stockmarket https://t.co/g7l7lsufpl	1	0	COVID-19
31	"new #advancinghealth episode: ""vaccine trust in marginalized communities with children's national hospital"" with  claire o'connell boogaard, m.d., @childrensnatl pediatrician and covid-19 vaccine program medical director. listen now: https://t.co/b6qbuszk7o https://t.co/8s0bh6sdj2"	1	0	COVID-19
32	no, the @cdcgov did not say the new covid-19 variant is more contagious among vaccinated people than unvaccinated people. that claim distorts a line in a cdc memo that actually says the new strain could be more contagious than past strains.https://t.co/xxh2hlnhdi	1	0	COVID-19
33	pfizer covid-19 jab contract released through court order https://t.co/3w3nhegbrp #dailynoahnews via @dailynoahnews	1	0	COVID-19
34	so when a person gets vaccinated, you do not get the ailments of a virus or disease. that's the point of a vax. covid shot does not work! joe rogan and bill maher say claim covid-19 vaccine was 100% effective was 'crazy' | washington examiner https://t.co/f7pv0knify	1	0	COVID-19
35	subscribe!quality info and programs. https://t.co/0qljlz8qyp	1	0	COVID-19
36	the cdc says the ba.2.86 covid-19 variant 'may be more capable of causing infection' in those who have been vaccinated.  https://t.co/pzjoywshtr	1	0	COVID-19
37	the fast-spreading new covid-19 subvariant xbb is part of a 'new class' of omicron #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/ag4qzkusw6	1	0	COVID-19
38	the most important information you could share with all those who are suffering from medical issues since getting jabbedhttps://t.co/aai4wc9ybv https://t.co/urnexqdcn4	1	0	COVID-19
39	the who said it will take up the european union's digital covid-19 vaccine passport framework as part of a new global network of digital health certificates./1	1	0	COVID-19
40	this is the ultimate bundle that has literally everything you need to teach your students about viruses and vaccines, including covid-19. #covid19 #viruses #vaccines #mrna #teachertwitter https://t.co/9wsy0lmhac https://t.co/yosq8cmd6j	1	0	COVID-19
41	"this young man gives us hope... he tells fauci &amp; biden exactly where they can stick it...""covid-19, the pandemic it's over. we don't care anymore. the people who wanted the vaccine, they already got it. the people who don't want the vaccine, we're still not going to get it,… https://t.co/blhdqdtxbp"	1	0	COVID-19
42	updated covid-19 vaccines are coming mid-september, officials say #europe #china #infections #britain #cdc #who #covid19 #viruscrisis #usa #pandemic #dranthonyfauci #testing #mandates #masks #deaths #vaccine #variantshttps://t.co/kifxptfa3z	1	0	COVID-19
43	watch 👀 the viral facebook post on #covid xbb is false! #spreadtheword https://t.co/x1owztu6rwfake 👇🏾 https://t.co/lqqcgiplmi	1	0	COVID-19
44	watch: @brianhooke15036 exposes the real science behind the vaccination schedule — including the covid-19 vacine — today on @kimiversenshow @ 4pm pt // 7pm et #vaxunvax https://t.co/jfxxwheobr	1	0	COVID-19
45	what to know about vaccines for covid-19, rsv and the flu:  verify fact sheet https://t.co/5k5evbjrar	1	0	COVID-19
46	λειτουργούν τα ενημερωμένα εμβόλια για τον covid-19 κατά των πιο πρόσφατων στελεχών της νόσου; τι λένε οι ειδικοί;https://t.co/dysr5jm3ny	1	0	COVID-19
47	"❌ no, este video viral de un ojo con ""una criatura con tentáculos"" no está relacionado con la vacuna contra el covid-19.https://t.co/h8zemkfofy https://t.co/k5bblmreny"	1	0	COVID-19
0	https://t.co/mx1ta0aqlp	1	1	coronavirus
1	https://t.co/srkp8m25gy via @the_jbs https://t.co/7ici5rvkye	1	1	coronavirus
2	"meet ""shots heard"" member dorit reiss, the uc hastings prof. of law dismantling your rights.#shots #doritreiss #law #dismantling #rights #uchastings #healthcare #lawprofessional #coronavirus @cdcgov @us_fda @nyugrossman https://t.co/ht6qkthmy1 "	1	1	coronavirus
3	they want to kill you folks: biden said friday he plans to request more money from congress to develop a fresh coronavirus vaccine, adding he may require everyone to take it whether they have been previously vaccinated or not.	1	1	coronavirus
4	warning! #remdesivir kills! warning! pcr tests do not detect c19.warning! c19 was a #bioweapon released on the world! now it comes from the #mrna jabs!natural #coronavirus in human beings is a cold.literally just went through this scenario with my daughter's co-worker ... https://t.co/8qi9fhj8f5	1	1	coronavirus
5	who can we sue if it kills people.fda authorizes, approves updated covid-19 boosters https://t.co/xngk9fzbdx via @justthenews	1	1	coronavirus
6	zuckerborg's threads: covid blocked in search.@lauramiers @denise_dewald @amethystarlight https://t.co/ifhlcpsr71	1	1	coronavirus
7	 @drkellyvictory: there's a reason we have never had an effective vaccine for a coronavirus; they simply mutate too quickly. tragically, these shots are far worse than simply ineffective; they're unsafe. #factsnotfear #rightsideofhistory	1	0	coronavirus
8	 @juliaraifman: how did headlines proclaiming the pandemic was ending in spring 2021, or that only 1 in 5000 vaccinated people would contract covid, misinform leaders? ultimately 475k covid deaths in 2021 drove much of our decline in life expectancy vs peer countrieshttps://t.co/2zqm5ynkws https://t.co/ik4kusg6vi	1	0	coronavirus
9	"""children at barack obama global prep academy in los angeles unified school district (lausd) were apparently vaccinated against the coronavirus without the consent or knowledge of parents, according to a mother.""https://t.co/wrwp9mpm3j via @breitbartnews"	1	0	coronavirus
10	"""the u.s. centers for disease control and prevention has stopped printing coronavirus vaccination cards since the federal government is no longer distributing vaccines. the cards, which were once essential to getting into places like restaurants, festivals and bars, have… https://t.co/nc6hl7ncje"	1	0	coronavirus
11	#covid19 #florida advises against new covid vaccine for people under 65, contradicting cdc https://t.co/3irpcege3q	1	0	coronavirus
12	#covid19 #fyp #vaccine #foryou #westgeorge11 #coronavirus #cdc #fda #t... | tiktok https://t.co/gifv7zzj5f	1	0	coronavirus
13	#novidbiden wants congress to fund new coronavirus vaccine that can be administered to all https://t.co/ymjd9gqj4s via @breitbartnews	1	0	coronavirus
14	#vax booster https://t.co/v6vuyvntiz	1	0	coronavirus
15	#virus links to coronavirus and health #coronavirus #pandemic #covid19 #vaccines #healthhttps://t.co/sh80olakqghttps://t.co/kfbcmyyr1t	1	0	coronavirus
16	#virus links to coronavirus vaccines #coronavirus #vaccines #covidvaccines #pandemic #foxnews #fake_vaccinehttps://t.co/6zbwqdwpu8https://t.co/kfbcmyyr1t	1	0	coronavirus
17	'tell it like it is' talk show: posts push unproven 'spike protein detoxification'... https://t.co/xg00zp4llp #coronavirus, #covid-19vaccination, #distortionsofscience, #factcheckpost, #petermccullough, #preventivesandtreatment, #vaccinationsafety https://t.co/7q8mohokak	1	0	coronavirus
18	[this happened to me] covid vaccine appointments in connecticut getting canceled https://t.co/rpskrzdfoc	1	0	coronavirus
19	advisers to the centers for disease control and prevention on tuesday endorsed the new shots for everyone 6 months of age and older. the agency's director is expected to sign off on the panel's recommendation. the vaccines could be available this week. https://t.co/ixyboa1hop	1	0	coronavirus
20	cdc advisory group meets tomorrow/could see shots as early as end of week but more likely next week fda okays new coronavirus vaccine as respiratory illness season nears https://t.co/tqkaupy5zi	1	0	coronavirus
21	covid19 vaccine: several potential vaccines have been developed to fight the coronavirus. stay informed on the latest research, development, and news on vaccine progress from healthday. #vaccinessavelives #stopthespread #staysafe #knowyouroptions https://t.co/i820j2ywor	1	0	coronavirus
22	dc mayor bowser, dc health encouraging residents to get vaccinated against respiratory illnesses | wjla https://t.co/obmbylqdw0	1	0	coronavirus
23	fda approves new coronavirus shot as respiratory illness season nears, with doses available as soon as this week. this is great news; i even cancelled my eye appointment for tomorrow, wary of going out until the new booster is available.https://t.co/g4ucwv67nz	1	0	coronavirus
24	fda okays new coronavirus vaccine as respiratory illness season nears https://t.co/bycczwlv6p	1	0	coronavirus
25	florida covid hospitalizations are rising. a new covid vaccine will be available soon  https://t.co/nsm8sknhxu	1	0	coronavirus
26	"from developing a one-and-done coronavirus shot to overcoming misinformation and global vaccine inequity, nobel prize winner drew weissman tells me that at 64, he's only ""speeding up."" https://t.co/jv8zm6ylsl @afp"	1	0	coronavirus
27	how long, indeed? https://t.co/j33xawyj63	1	0	coronavirus
28	https://t.co/eet0fplfmp	1	0	coronavirus
29	it's been a year since the last time the vaccines were tweaked, and only about 20% of adults ever received that earlier update.  https://t.co/sjpminibqr	1	0	coronavirus
30	it's like the same thing with the hpv shots, maybe you do have it, but still if you are 45 and under get vaccinated. i mean just sit with your shit for a while it helps. https://t.co/do9jkrzgsi	1	0	coronavirus
31	los angeles unified school district officially ends coronavirus vaccine mandatehttps://t.co/yafv5tbpf3	1	0	coronavirus
32	meet the black students who were instrumental in developing the first covid-19 shots https://t.co/stqi7y3f65	1	0	coronavirus
33	"most nursing homes have yet to begin administering the coronavirus vaccine to residents. ""the distribution of the new covid-19 vaccine is not going well,"" said one executive of a pharmacists' organization.  https://t.co/l9adpvdrr1"	1	0	coronavirus
34	new boosters were approved sept. 11, but the roll out of the shots is off to a bumpy start.  https://t.co/yfzbuquwyl	1	0	coronavirus
35	new interview with @drshannonkroner !https://t.co/josum9mpcz#sociallyawkward #podcast #comedy #comedian #spotify #applepodcasts #vaccines #covid #vaccine #coronavirus #health #agenda #vaccination #wakeup #science #pandemic #trump #healthcare #truth #medicine #bigpharma https://t.co/kxxk9qmiql	1	0	coronavirus
36	president joe biden said friday that he is planning to request more money from congress to develop another new coronavirus vaccine, as scientists track new waves and hospitalizations rise, though not like before.  https://t.co/bd85qykswu	1	0	coronavirus
37	president joe biden says he will request more funding for a new coronavirus vaccine https://t.co/oekcfd3ivn	1	0	coronavirus
38	sen. ron johnson calls big pharma and biden administration the 'covid cartel' for pandemic narrative https://t.co/knyas1jrud via @justthenews	1	0	coronavirus
39	surprise, surprise, surprise…not! https://t.co/vlwwt42hos	1	0	coronavirus
40	the food and drug administration approved a reformulated coronavirus vaccine targeting an omicron subvariant. injections could be available in pharmacies, clinics and doctor's offices by the end of the week.https://t.co/ub3hynyljq https://t.co/qfdomjywpn	1	0	coronavirus
41	the troubled rollout of updated coronavirus vaccines is proving especially challenging for physicians and parents seeking to immunize children. the vaccines are coming as the fall respiratory illness season dawns and an expected winter covid uptick looms.https://t.co/9yenymjga6	1	0	coronavirus
42	the u.s. approved updated covid-19 vaccines monday, hoping to rev up protection against the latest coronavirus strains and blunt any surge this fall and winter. https://t.co/jn8elzos2q	1	0	coronavirus
43	this is so wrong.  https://t.co/9zq58gzhpb	1	0	coronavirus
44	those who haven't had a covid booster shot within the last two months are eligible to receive the vaccine.https://t.co/kvx6tho0za	1	0	coronavirus
45	vbi vaccines' pan-coronavirus vaccine candidate produced broad protection against variants of concern https://t.co/wovd1go0oo	1	0	coronavirus
46	⚡️ winter poses a threat of seasonal respiratory viruses like influenza, coronavirus, and rsv, especially for older adults. the rsv vaccine is currently unreimbursed in france. while waiting for possible reimbursement, preventive measures like… https://t.co/ogjzzlfor2 https://t.co/vbkdpxq8sv	1	0	coronavirus
47	💉 🇺🇸 ron desantis, gobernador de florida y candidato republicano a la presidencia, aseguró que dejará de financiar las vacunas contra el coronavirus en caso de que se convierta en presidente. https://t.co/jlswii8wat	1	0	coronavirus
0	"""based on only weak observational evidence, regulators have reassured the public that the vaccines are safe throughout pregnancy. however, we don't have reliable evidence on the vaccine's impact on miscarriages, malformation, foetal deaths, and maternal health risks because they…"	1	1	vaccine
1	#vaccine injured lives matter coozie ~&gt; 👇👇https://t.co/tceginyggf https://t.co/2mo8424cp4	1	1	vaccine
2	#疫苗灾难：20230602 彼得·麦考洛医生：2004年，美国国家科学院、工程院和医学院就 #疫苗自闭症 问题发表声明。1970年代，自闭症的发病率为1/10，000，而今天发病率已激增至1/36。大多数病例发生在儿童早期，cdc acip常规疫苗接种计划已大幅扩展。https://t.co/e4bxatl2wphttps://t.co/lxbxxffh2f	1	1	vaccine
3	@megynkelly hi megyn, i saw your post re your vaccine injury. i too have an injury that has affected my brain and is a neuro long-haulers injury. i couldn't figure out how i could have a 25 year nursing career, have an rn msn mba graduating with a 3.9 and for the past 2 years…	1	1	vaccine
4	anyone surprised? no?i would love to hear @rwmalonemd and @p_mcculloughmd share their thoughts on this study!swiss study finds that covid vaccine heart injury up to 20 times more common than previously claimed - lifesite https://t.co/tcjwf7r5u0	1	1	vaccine
5	anyonethat has suffered from the mandatory covid vaccine or job loss from not taking it is able to get compensated.make complaint to the international court and join a class action attorney firm.  don't wait. https://t.co/drzqodp3p0	1	1	vaccine
6	as i reported on my real americas voice tv show on saturday, president trump is listening. i've pushed so hard for him to question vaccine safety. he listened!https://t.co/joclrhrpl8	1	1	vaccine
7	biden admin admits vaccine error: no evidence behind recommendations｜facts matter https://t.co/okdhw1dtfx via @epochtimes	1	1	vaccine
8	"brevard county gop: covid-19 vaccine is a bioweapon   https://t.co/iutf1x9utp (""…whereas strong and credible evidence has recently been revealed that covid-19 and covid-19 injections are biological and technological weapons…."") 13jul23 #bioweapon #vaxisbioweapon"	1	1	vaccine
9	by now every american knows someone in their own circles who got vaxx damaged. cancer rate has skyrocketed since the jabs.  you should never trust the government that comes to power via fraud.https://t.co/sjgwt4noei	1	1	vaccine
10	cdc is concealing vital vaccine safety info, says brian hooker w/ dr. kelly victory – ask dr. drew https://t.co/yvcnt5dhh3	1	1	vaccine
11	despite injections starting in december 2020, and more than 1.5 million reports being lodged with the vaccine adverse event reporting system.  hhs has compensated just four people, paying $8,592 in total. https://t.co/xccwnj55vl	1	1	vaccine
12	does the clot shot effect dna?[premiering 8/29, 9pm et] kevin mckernan talks covid vaccine dna contamination, the monkey virus sv40 promoter, and what's actually in the vaccines https://t.co/5uhoi0ktld	1	1	vaccine
13	"emily edwards spent over a year in the hospital with complications from guillain-barré syndrome after getting the pfizer covid-19 vaccine. now pain and restricted mobility are ""pretty much a forever deal"" for her. but she hopes her story can help others. https://t.co/dcoswepk30"	1	1	vaccine
14	examination reveals notable discrepancies in pfizer's early mrna vaccine trial fatalitieshttps://t.co/b51rimcgpydownload nowhttps://t.co/yfpfaffirs	1	1	vaccine
15	excess mortality just got even worse...deaths are accelerating.not normaldo not comply#vaccinegenocide #diedsuddenly #vaccine #mrna #turbocancer #cancer #ctv #cbc #ctvtweets #pfizer #masks #trudeau #canada #cdc #fda #ctv #cbc #ctvtweets #eu #bbc https://t.co/92s7funqad	1	1	vaccine
16	fda approved a new mouse booster for convid. unfortunately, vaccine deaths will go up again. but less people will be taking the toxic shots this time, as many suffered adverse effects (1,600,000 vaers reports), government mandates were deemed unlawful &amp; more people are informed. https://t.co/mo7vybea1v	1	1	vaccine
17	florida county gop declares covid-19 and mrna covid vaccine a 'bioweapon' https://t.co/bxkq6wyxcq #gatewaypundit via @gatewaypundit	1	1	vaccine
18	how do the different mrna vaccine components impact the body? what's really going on with the sb 40 monkey virus promoter that's in them? why should we be concerned about lipid nanoparticles and dna open reading frames? and how is synthetic mrna fundamentally different from…	1	1	vaccine
19	https://t.co/7wvpisuq7n	1	1	vaccine
20	https://t.co/eblkvot1td	1	1	vaccine
21	https://t.co/zlhc59idvt. great review of vaccine-induced autoimmune diseases	1	1	vaccine
22	i am on a vengeance! i want the world to know my dad was vaccine injured by pfizer and is now dead! i also believe my aunt got bloodclots from the vax and killed her! pfizer is going down! anybody promoting the death jab is going down with pfizer and belongs in prison!	1	1	vaccine
23	in 1986, #ronaldreagan signed the #nationalchildhoodvaccineinjuryact (ncvia) into a law, that created the vicp, which protects the pharmaceutical companies from #liabilityandlawsuits related to #vaccineinjuries. #isjnzc_joeleph: true life, peace and joyhttps://t.co/lhuo7hqksa	1	1	vaccine
24	judicial watch: records reveal pfizer tested safety of covid vaccine booster on 23 people before biden fda approved the shots https://t.co/srij38ch2u #gatewaypundit via @gatewaypundit	1	1	vaccine
25	megyn kelly drops vaccine bombshell: reveals possible injury, regrets getting shot | facts matter https://t.co/fgnthy2xot	1	1	vaccine
26	megyn kelly regrets getting covid vaccine after discovering medical issue at her physical https://t.co/f0v1ygjn5c	1	1	vaccine
27	more and more people are realizing how damaging the covid vaccines are, they lied during the trials.  my daughter is proof.  #maddiedegarayhttps://t.co/4n9ce6lnir	1	1	vaccine
28	more covid-19 vaccine death data 👇🤬https://t.co/xpeyg6jpun	1	1	vaccine
29	ngl. the covid vaccine got me thinking i have heart problems now.	1	1	vaccine
30	"people who received pfizer's covid vaccine showed a 23.5% greater likelihood of dying than the placebo group after six months.viral rfk jr. video gets deleted by ""x"": here's what they didn't want you to see https://t.co/3n8xejwamp"	1	1	vaccine
31	pfizer, j&amp;j pressured south africa into shielding companies from covid vaccine injury claims: documents - https://t.co/c8f1mwjmiw, j&amp;j pressured south africa into shielding com... https://t.co/26orahydmd	1	1	vaccine
32	"rand paul: ""the risks of the vaccine outweigh the risks of the disease."" https://t.co/co6jknyw9i"	1	1	vaccine
33	safe and effective, covid-19 vaccines have been shown to prevent severe illness, hospitalization, death. visit @cdc – https://t.co/okapxrj0nc to arm yourself with the facts. learn about nasw's campaign to promote vaccine confidence: https://t.co/m0yafaplsw @nasw @naswfoundation https://t.co/sx9d24z7bf	1	1	vaccine
34	saying it again. don't believe the covid vaccine is harmful. however the gene altering mrna is a real problem in my mind. much more testing is needed.	1	1	vaccine
35	sgt report - complete denial - with dr.william makis (sep.5, 2023)#vaccinegenocide #diedsuddenly #vaccine #nuremberg2 #mrna #turbocancer #cancer #ctv #cbc #ctvtweets #pfizer #canada #trudeau #ctv #cbchttps://t.co/yasoaxonp7	1	1	vaccine
36	stan van gundy- do you still push the #vaccine?#vaccinegenocide #diedsuddenly #vaccine #nuremberg2  #mrna #turbocancer #cancer #ctv  #pfizer masks #trudeau #canada #cdc #fda @espn @stanvangundy @stanvangundy.comhttps://www.brighteon. com/57045c82-9dd0-4fa3-af3f-aa453fa902f3	1	1	vaccine
37	the cdc wants to hide the vaers data for covid. https://t.co/wnyl2ncjc3	1	1	vaccine
38	the fact that this criminal agency still exists says it all about america's health and science. #covidvaccines #cdc #covid19 the cdc has halted the collection of covid-19 vaccine adverse events reports through the agency's v-safe page.https://t.co/csvaidtvwc	1	1	vaccine
39	the most important information you could share with all those who are suffering from medical issues since getting jabbedhttps://t.co/aai4wc9ybv https://t.co/urnexqdcn4	1	1	vaccine
40	to my vaccine injured family ❤️🫂this is just really hard i'm down in the dumps so i gotta remind myself this to https://t.co/gtkf9zxlvp	1	1	vaccine
41	vaccine reaction. https://t.co/h9p7ar2w2f	1	1	vaccine
42	» cdc now refusing new covid vaccine adverse event reports in its v-safe program https://t.co/zba0sww31a	1	1	vaccine
43	彼得·麦卡洛医生：我们现在已经在尸检中证实，100%的情况下是致命的疫苗诱发心肌炎。  dr. peter mccullough：we have now proof positive in autopsies in cases like this 100% of the time it is fatal vaccine induced myocarditis https://t.co/2dmlybonbv	1	1	vaccine
44	"""arkansas will not lock down"",-gov. sarah huckabee sanders-republican. we need more governors like gov. sanders.#covid #covid19 #vaccine #cancer #arkansas #sarahhuckabeesandershttps://t.co/djso2n4uii"	1	0	vaccine
45	"""birx spoke to the abc news' podcast about why she says the government is living in ""a bit of a fantasy world"" when it comes to the covid-19 response. birx also explains why she believes that the next month's vaccine booster is coming weeks too late."" https://t.co/qcgdjiphby"	1	0	vaccine
46	"""from community center events to vaccine clinics, the emerald has assembled a resource guide to help you and your family get the most out of fall. and even better, most options are free, and financial aid is available for those that are not.""https://t.co/il5o59xapf"	1	0	vaccine
47	"""i'll never get a covid vaccine, my body's healthy and it's all a ploy from the government to control me"" = ""i'll never wear a seatbelt, i'm a professional driver and it's a ploy from the dmvhs to control what i do in my car!!"""	1	0	vaccine
48	"""shedding""doctors are lying to you about 'shedding'.everyone sheds skin.but what are some shedding?parasitesfungiand now, very clearly, vaccine material with the skin that flies in badly filtered buildings that think they are 'safe'buildings are not safe. .003 hepa https://t.co/cmw9w7q5df"	1	0	vaccine
49	"""you can't extend the experience you have with the flu vaccine to this vaccine. ""biden's comments that all americans will ""likely"" be advised to get a new #covid19 vaccine are ""irresponsible,"" according to @drjbhattacharya. https://t.co/sp441quohm"	1	0	vaccine
50	#covid booster warning from florida surgeon general, who advises people not to get new vaccine https://t.co/1ts2kce27v	1	0	vaccine
51	#covid19 #covidー19 #trump #joebiden #alexjones #maskmandates #vaccine https://t.co/ytmekjbiei	1	0	vaccine
52	#fda #vaccine #adviser says most #americans don't need yet another #covid -19 #booster | the epoch times https://t.co/69b9lxrmdz	1	0	vaccine
53	#novaxdjokovic: aaron rodgers celebrates novak djokovic outlasting covid vaccine mandates to play in u.s. open https://t.co/4qzpda0trm via @breitbartnews	1	0	vaccine
