	Text	Vaccine content	Vaccine safety	Filter	text_clean	text_wo_filter_word	text_wo_stopwords_or_filter
10	 @rasmussen_poll: coming today: the covid-19 vaccine, safe and effective?over 30% of americans now think they are not.republicans are most skeptical.we remain the only pollster who will ask questions about the covid-19 vaccine injuries &amp; death.what does that say about the rest of them?	1.0	1	COVID-19	 _poll coming today the covid  vaccine  safe and effectiveover  of americans now think they are notrepublicans are most skepticalwe remain the only pollster who will ask questions about the covid  vaccine injuries  deathwhat does that say about the rest of them	 _poll coming today the covid  vaccine  safe and effectiveover  of americans now think they are notrepublicans are most skepticalwe remain the only pollster who will ask questions about the covid  vaccine injuries  deathwhat does that say about the rest of them	_poll coming today covid vaccine safe effectiveover americans think notrepublicans skepticalwe remain pollster ask questions covid vaccine injuries deathwhat say rest
11	" @resilient333: and when...""suddenly"" 😪💔*ayano iioka - 42 yrs - japan*her grieving husband slams medical body's 'vague' probe' - ""left everything vague.""*november 17, 2022*suddenly died after receiving a covid-19 vaccine shot at a group vaccination venue in aisai.https://t.co/ay8kxpkzcn https://t.co/f1tgqhoh5t"	1.0	1	COVID-19	  and whensuddenly ayano iioka   yrs  japanher grieving husband slams medical bodys vague probe  left everything vaguenovember  suddenly died after receiving a covid  vaccine shot at a group vaccination venue in aisai 	  and whensuddenly ayano iioka   yrs  japanher grieving husband slams medical bodys vague probe  left everything vaguenovember  suddenly died after receiving a covid  vaccine shot at a group vaccination venue in aisai 	whensuddenly ayano iioka yrs japanher grieving husband slams medical bodys vague probe left everything vaguenovember suddenly died receiving covid vaccine shot group vaccination venue aisai
12	 @resist_05: dr peter mccullough… before covid-19 i had seen 2 cases of myocarditis my whole career, now i see 2 cases per day in the clinic covid-19 vaccine induced myocarditis is fatal, and people should understand that… every shot they take there's a risk https://t.co/23vedeuz7t	1.0	1	COVID-19	 _ dr peter mccullough before covid  i had seen  cases of myocarditis my whole career now i see  cases per day in the clinic covid  vaccine induced myocarditis is fatal and people should understand that every shot they take theres a risk 	 _ dr peter mccullough before covid  i had seen  cases of myocarditis my whole career now i see  cases per day in the clinic covid  vaccine induced myocarditis is fatal and people should understand that every shot they take theres a risk 	_ dr peter mccullough covid seen cases myocarditis whole career see cases per day clinic covid vaccine induced myocarditis fatal people understand every shot take theres risk
13	 @rwmalonemd: covid-19 vaccine induced injuries and government compensationwhy is there no public outcry?https://t.co/6qnveibxnk https://t.co/ndk9hfx2mm	1.0	1	COVID-19	  covid  vaccine induced injuries and government compensationwhy is there no public outcry 	  covid  vaccine induced injuries and government compensationwhy is there no public outcry 	covid vaccine induced injuries government compensationwhy public outcry
14	 @toobaffled: sep. 2023: david took the experimental covid-19 vaccine and it turned him into an organ donor. sad times we are living in. 💉 https://t.co/hieidq9bat	1.0	1	COVID-19	  sep  david took the experimental covid  vaccine and it turned him into an organ donor sad times we are living in  	  sep  david took the experimental covid  vaccine and it turned him into an organ donor sad times we are living in  	sep david took experimental covid vaccine turned organ donor sad times living
15	 @toobaffled: stella korpusik teller, 66, of tariffville, died at her home on august 26, 2023.she most recently worked at big y9/28/21 - big y foods to provide covid-19 vaccine booster shots3/1/22 - big y provides over 75,000 covid vaccines in 2021, including regular and boosters of… https://t.co/ln3gt6luop	1.0	1	COVID-19	  stella korpusik teller  of tariffville died at her home on august  she most recently worked at big y8  big y foods to provide covid  vaccine booster shots  big y provides over  covid vaccine  in  including regular and boosters of 	  stella korpusik teller  of tariffville died at her home on august  she most recently worked at big y8  big y foods to provide covid  vaccine booster shots  big y provides over  covid vaccine  in  including regular and boosters of 	stella korpusik teller tariffville died home august recently worked big y8 big foods provide covid vaccine booster shots big provides covid vaccine including regular boosters
16	" @vigilantfox: teachers are being decimated by aggressive and metastatic cancers after covid-19 vaccine mandatesby dr. william makis (@makismd)""oncologists cannot continue to ignore this new phenomenon of covid-19 mrna vaccine induced turbo cancer, forever.""https://t.co/07nesff3co"	1.0	1	COVID-19	  teachers are being decimated by aggressive and metastatic cancers after covid  vaccine mandatesby dr william makis oncologists cannot continue to ignore this new phenomenon of covid  mrna vaccine induced turbo cancer forever	  teachers are being decimated by aggressive and metastatic cancers after covid  vaccine mandatesby dr william makis oncologists cannot continue to ignore this new phenomenon of covid  mrna vaccine induced turbo cancer forever	teachers decimated aggressive metastatic cancers covid vaccine mandatesby dr william makis oncologists cannot continue ignore new phenomenon covid mrna vaccine induced turbo cancer forever
17	 @zackstieber: fda refusing to provide covid-19 vaccine safety data. https://t.co/gacgsc1hpy	1.0	1	COVID-19	  fda refusing to provide covid  vaccine safety data 	  fda refusing to provide covid  vaccine safety data 	fda refusing provide covid vaccine safety data
18	"""in a 2023 released 2022 pfizer internal ""white paper"" document obtained by project veritas, scientists elucidate the ""most likely"" mechanism of post-vaccine myocarditis and pericarditis seen in their covid-19 vaccine. the pfizer scientist concluded that the lipid nanoparticles,… https://t.co/gwurjucxkl"	1.0	1	COVID-19	in a  released  pfizer internal white paper document obtained by project veritas scientists elucidate the most likely mechanism of postvaccine myocarditis and pericarditis seen in their covid  vaccine  the pfizer scientist concluded that the lipid nanopaicles 	in a  released  pfizer internal white paper document obtained by project veritas scientists elucidate the most likely mechanism of postvaccine myocarditis and pericarditis seen in their covid  vaccine  the pfizer scientist concluded that the lipid nanopaicles 	released pfizer internal white paper document obtained project veritas scientists elucidate likely mechanism postvaccine myocarditis pericarditis seen covid vaccine pfizer scientist concluded lipid nanopaicles
19	cdc quietly removes covid-19 vaccine adverse events collection from website https://t.co/pdhuk8belc	1.0	1	COVID-19	cdc quietly removes covid  vaccine adverse events collection from website 	cdc quietly removes covid  vaccine adverse events collection from website 	cdc quietly removes covid vaccine adverse events collection website
20	denis rancourt: as of september 2, 2023, 17.0 ± 0.5 million covid-19 vaccine deaths worldwide from 13.50 billion covid injectionsthis corresponds to a mass iatrogenic event that killed (0.213 ± 0.006) % of the world population (1 death per 470 living persons, in less than 3…	1.0	1	COVID-19	denis rancou as of september      million covid  vaccine deaths worldwide from  billion covid injectionsthis corresponds to a mass iatrogenic event that killed     of the world population  death per  living persons in less than 	denis rancou as of september      million covid  vaccine deaths worldwide from  billion covid injectionsthis corresponds to a mass iatrogenic event that killed     of the world population  death per  living persons in less than 	denis rancou september million covid vaccine deaths worldwide billion covid injectionsthis corresponds mass iatrogenic event killed world population death per living persons less
21	dr. mccullough on covid-19 vaccine harm to pregnant women!麦卡洛博士谈 covid 19 疫苗对孕妇的伤害！#盘古翻译部 https://t.co/p17kdzcj3v	1.0	1	COVID-19	dr mccullough on covid  vaccine harm to pregnant women麦卡洛博士谈 covid  疫苗对孕妇的伤害盘古翻译部 	dr mccullough on covid  vaccine harm to pregnant women麦卡洛博士谈 covid  疫苗对孕妇的伤害盘古翻译部 	dr mccullough covid vaccine harm pregnant women麦卡洛博士谈 covid 疫苗对孕妇的伤害盘古翻译部
22	"emily edwards spent over a year in the hospital with complications from guillain-barré syndrome after getting the pfizer covid-19 vaccine. now pain and restricted mobility are ""pretty much a forever deal"" for her. but she hopes her story can help others. https://t.co/dcoswepk30"	1.0	1	COVID-19	emily edwards spent over a year in the hospital with complications from guillainbarré syndrome after getting the pfizer covid  vaccine  now pain and restricted mobility are pretty much a forever deal for her but she hopes her story can help others 	emily edwards spent over a year in the hospital with complications from guillainbarré syndrome after getting the pfizer covid  vaccine  now pain and restricted mobility are pretty much a forever deal for her but she hopes her story can help others 	emily edwards spent year hospital complications guillainbarré syndrome getting pfizer covid vaccine pain restricted mobility pretty much forever deal hopes story help others
23	fda asks court for 18-month pause in key covid-19 vaccine safety data caseshttps://t.co/2zpmakxgzb	1.0	1	COVID-19	fda asks cou for 8month pause in key covid  vaccine safety data cases	fda asks cou for 8month pause in key covid  vaccine safety data cases	fda asks cou 8month pause key covid vaccine safety data cases
24	fda refuses to provide covid-19 vaccine safety data to us senator | zerohedge https://t.co/3mzfx2onct	1.0	1	COVID-19	fda refuses to provide covid  vaccine safety data to us senator  zerohedge 	fda refuses to provide covid  vaccine safety data to us senator  zerohedge 	fda refuses provide covid vaccine safety data us senator zerohedge
25	florida gov. ron desantis on thursday criticized recent efforts across the u.s. to tamp down a recent jump in covid-19 cases through temporary restrictions or masking and his state surgeon general warned against getting the latest covid-19 vaccine... https://t.co/ctpbu2fhpl	1.0	1	COVID-19	florida gov ron desantis on thursday criticized recent effos across the us to tamp down a recent jump in covid  cases through temporary restrictions or masking and his state surgeon general warned against getting the latest covid  vaccine  	florida gov ron desantis on thursday criticized recent effos across the us to tamp down a recent jump in covid  cases through temporary restrictions or masking and his state surgeon general warned against getting the latest covid  vaccine  	florida gov ron desantis thursday criticized recent effos across us tamp recent jump covid cases temporary restrictions masking state surgeon general warned getting latest covid vaccine
26	optic neuropathy – a neurological adverse event following covid-19 vaccine administration https://t.co/udmutvnze5	1.0	1	COVID-19	optic neuropathy  a neurological adverse event following covid  vaccine administration 	optic neuropathy  a neurological adverse event following covid  vaccine administration 	optic neuropathy neurological adverse event following covid vaccine administration
27	pfizer and biontech receive positive chmp opinion for omicron xbb.1.5-adapted covid-19 vaccine in the european union - health stocks hub $pfe  https://t.co/c47zyg5n2k	1.0	1	COVID-19	pfizer and biontech receive positive chmp opinion for omicron xbbadapted covid  vaccine in the european union  health stocks hub pfe  	pfizer and biontech receive positive chmp opinion for omicron xbbadapted covid  vaccine in the european union  health stocks hub pfe  	pfizer biontech receive positive chmp opinion omicron xbbadapted covid vaccine european union health stocks hub pfe
28	should big pharma sit on advisory panels that decide funding for pharmaceutical products?https://t.co/lqrmuhuf5ksee also:sunfellow vaccination resource pagehttps://t.co/qsnqgf9z4rcovid-19 vaccine death &amp; injury stories from all over the worldhttps://t.co/yutdvrttzq… https://t.co/pqfupbcksj	1.0	1	COVID-19	should big pharma sit on advisory panels that decide funding for pharmaceutical products alsosunfellow vaccination resource page  vaccine death  injury stories from all over the world 	should big pharma sit on advisory panels that decide funding for pharmaceutical products alsosunfellow vaccination resource page  vaccine death  injury stories from all over the world 	big pharma sit advisory panels decide funding pharmaceutical products alsosunfellow vaccination resource page vaccine death injury stories world
29	six  u.s. senators demand inquiry into department of veteran affairs  following denial of disability claims for 24-year-old navy vet  discharged due to myocarditis from covid-19 vaccinehttps://t.co/ftent6k6f6	1.0	1	COVID-19	six  us senators demand inquiry into depament of veteran affairs  following denial of disability claims for yearold navy vet  discharged due to myocarditis from covid  vaccine ttpstcoftentkf	six  us senators demand inquiry into depament of veteran affairs  following denial of disability claims for yearold navy vet  discharged due to myocarditis from covid  vaccine ttpstcoftentkf	six us senators demand inquiry depament veteran affairs following denial disability claims yearold navy vet discharged due myocarditis covid vaccine ttpstcoftentkf
30	"teachers are being decimated by aggressive and metastatic cancers after covid-19 vaccine mandates by dr. william makis (@makismd)""oncologists cannot continue to ignore this new phenomenon of covid-19 mrna vaccine induced turbo cancer, forever.""https://t.co/hpwvevkl8y"	1.0	1	COVID-19	teachers are being decimated by aggressive and metastatic cancers after covid  vaccine mandates by dr william makis oncologists cannot continue to ignore this new phenomenon of covid  mrna vaccine induced turbo cancer forever	teachers are being decimated by aggressive and metastatic cancers after covid  vaccine mandates by dr william makis oncologists cannot continue to ignore this new phenomenon of covid  mrna vaccine induced turbo cancer forever	teachers decimated aggressive metastatic cancers covid vaccine mandates dr william makis oncologists cannot continue ignore new phenomenon covid mrna vaccine induced turbo cancer forever
31	the researchers set out to determine whether children who received the pfizer covid-19 vaccine were better protected against other infections besides covid-19.  their findings suggested the opposite.#thedefenderhttps://t.co/seni3vo59v	1.0	1	COVID-19	the researchers set out to determine whether children who received the pfizer covid  vaccine were better protected against other infections besides covid   their findings suggested the oppositethedefender	the researchers set out to determine whether children who received the pfizer covid  vaccine were better protected against other infections besides covid   their findings suggested the oppositethedefender	researchers set determine whether children received pfizer covid vaccine better protected infections besides covid findings suggested oppositethedefender
32	top doctor says she suffered covid-19 vaccine injury | 9 news australia https://t.co/fqbwdpdzww via @youtube	1.0	1	COVID-19	top doctor says she suffered covid  vaccine injury   news australia  via 	top doctor says she suffered covid  vaccine injury   news australia  via 	top doctor says suffered covid vaccine injury news australia via
33	vaccine injury treatment: fasting for 48-72 hours creates autophagy, the body's detox process that kills covid-19 vaccine spike protein-damaged cells and reboots the immune system.by dr. william makishttps://t.co/77lqjnistj https://t.co/8py2mstz0t	1.0	1	COVID-19	vaccine injury treatment fasting for 8 hours creates autophagy the bodys detox process that kills covid  vaccine spike proteindamaged cells and reboots the immune systemby dr william makis 	vaccine injury treatment fasting for 8 hours creates autophagy the bodys detox process that kills covid  vaccine spike proteindamaged cells and reboots the immune systemby dr william makis 	vaccine injury treatment fasting 8 hours creates autophagy bodys detox process kills covid vaccine spike proteindamaged cells reboots immune systemby dr william makis
34	wisconsin sen. ron johnson alleges cdc participated in censoring information on covid-19 vaccine  | just the news  https://t.co/ji3tm6anup	1.0	1	COVID-19	wisconsin sen ron johnson alleges cdc paicipated in censoring information on covid  vaccine   just the news  	wisconsin sen ron johnson alleges cdc paicipated in censoring information on covid  vaccine   just the news  	wisconsin sen ron johnson alleges cdc paicipated censoring information covid vaccine news
35	👍👍👍👍👍👏👏👏👏'a lot of red flags': florida surgeon general advises people to stay away from new covid-19 vaccine https://t.co/25vcvn6wdw	1.0	1	COVID-19	a lot of red flags florida surgeon general advises people to stay away from new covid  vaccine 	a lot of red flags florida surgeon general advises people to stay away from new covid  vaccine 	lot red flags florida surgeon general advises people stay away new covid vaccine
36	🔥🔥🔥enjoy this little docuseries from our event we had in florida august 2023! you may even see some familiar faces 😍😍💙💙covid-19 vaccine injuries: we are the evidence 👇👇@michell87463246 @oneadds @iambrookjackson @atthemartins @allendmartin @jathorpmfm @docbiss…	1.0	1	COVID-19	enjoy this little docuseries from our event we had in florida august  you may even see some familiar faces covid  vaccine injuries we are the evidence       	enjoy this little docuseries from our event we had in florida august  you may even see some familiar faces covid  vaccine injuries we are the evidence       	enjoy little docuseries event florida august may even see familiar faces covid vaccine injuries evidence
37	 @adamlaxalt: reminder: @rondesantis is the only governor in the country who has permanently prohibited:❌covid-19 vaccine passports❌covid-19 vaccine &amp; mask requirements in schools❌covid-19 masking requirements at businesses❌employers from hiring or firing based on mrna jabs…	1.0	0	COVID-19	  reminder  is the only governor in the country who has permanently prohibitedcovid  vaccine passposcovid  vaccine  mask requirements in schoolscovid  masking requirements at businessesemployers from hiring or firing based on mrna jabs	  reminder  is the only governor in the country who has permanently prohibitedcovid  vaccine passposcovid  vaccine  mask requirements in schoolscovid  masking requirements at businessesemployers from hiring or firing based on mrna jabs	reminder governor country permanently prohibitedcovid vaccine passposcovid vaccine mask requirements schoolscovid masking requirements businessesemployers hiring firing based mrna jabs
38	 @bennyjohnson: 🚨the huntington beach city council has voted approve a declaration to ban universal mask mandates and covid-19 vaccine mandates in the city.is california healing?! https://t.co/hhagvxp2fp	1.0	0	COVID-19	  the huntington beach city council has voted approve a declaration to ban universal mask mandates and covid  vaccine mandates in the cityis california healing 	  the huntington beach city council has voted approve a declaration to ban universal mask mandates and covid  vaccine mandates in the cityis california healing 	huntington beach city council voted approve declaration ban universal mask mandates covid vaccine mandates cityis california healing
39	" @canindependent: look: the south african government has released the pfizer covid-19 vaccine contract as part of a court order. within the contract dated march 30, 2021, it states that the ""purchaser further acknowledges that the long-term effects and efficacy of the vaccine are not currently… https://t.co/r2e0rn44fw"	1.0	0	COVID-19	  look the south african government has released the pfizer covid  vaccine contract as pa of a cou order within the contract dated march   it states that the purchaser fuher acknowledges that the longterm effects and efficacy of the vaccine are not currently 	  look the south african government has released the pfizer covid  vaccine contract as pa of a cou order within the contract dated march   it states that the purchaser fuher acknowledges that the longterm effects and efficacy of the vaccine are not currently 	look south african government released pfizer covid vaccine contract pa cou order within contract dated march states purchaser fuher acknowledges longterm effects efficacy vaccine currently
40	 @cdcgov: the latest @cdcmmwr weekly briefing is live. topics include: a norovirus outbreak in illinois, covid-19 vaccine protection against ed and urgent care visits among children, and more. listen and subscribe: https://t.co/i9zs1yi5zf https://t.co/nr7cmqsy2v	1.0	0	COVID-19	  the latest  weekly briefing is live topics include a norovirus outbreak in illinois covid  vaccine protection against ed and urgent care visits among children and more listen and subscribe  	  the latest  weekly briefing is live topics include a norovirus outbreak in illinois covid  vaccine protection against ed and urgent care visits among children and more listen and subscribe  	latest weekly briefing live topics include norovirus outbreak illinois covid vaccine protection ed urgent care visits among children listen subscribe
41	" @childrenshd: ""defending the constitution"" is an explosive tell-all detailing the history of the illegal military covid-19 vaccine mandate and the resistance to it by service members who could not, in good conscience, go along.""navy commander green expertly weaves historical analysis… https://t.co/hfjj7x4nmv"	1.0	0	COVID-19	  defending the constitution is an explosive tellall detailing the history of the illegal military covid  vaccine mandate and the resistance to it by service members who could not in good conscience go alongnavy commander green expely weaves historical analysis 	  defending the constitution is an explosive tellall detailing the history of the illegal military covid  vaccine mandate and the resistance to it by service members who could not in good conscience go alongnavy commander green expely weaves historical analysis 	defending constitution explosive tellall detailing history illegal military covid vaccine mandate resistance service members could good conscience go alongnavy commander green expely weaves historical analysis
42	 @childrenshd: the researchers set out to determine whether children who received the pfizer covid-19 vaccine were better protected against other infections besides covid-19.  their findings suggested the opposite.#thedefenderhttps://t.co/seni3vo59v	1.0	0	COVID-19	  the researchers set out to determine whether children who received the pfizer covid  vaccine were better protected against other infections besides covid   their findings suggested the oppositethedefender	  the researchers set out to determine whether children who received the pfizer covid  vaccine were better protected against other infections besides covid   their findings suggested the oppositethedefender	researchers set determine whether children received pfizer covid vaccine better protected infections besides covid findings suggested oppositethedefender
43	 @childrenshd: urgent: approximately 100 colleges + universities still have covid-19 vaccine mandates for students returning to campuses this fall. this unnecessary mandate endangers the health + well-being of young adults.take action now ⬇️ https://t.co/40nlemoe4r	1.0	0	COVID-19	  urgent approximately  colleges  universities still have covid  vaccine mandates for students returning to campuses this fall this unnecessary mandate endangers the health  wellbeing of young adultstake action now  	  urgent approximately  colleges  universities still have covid  vaccine mandates for students returning to campuses this fall this unnecessary mandate endangers the health  wellbeing of young adultstake action now  	urgent approximately colleges universities still covid vaccine mandates students returning campuses fall unnecessary mandate endangers health wellbeing young adultstake action
44	 @cnnbrk: drugmaker pfizer says early data from its covid-19 vaccine shows it is more than 90% effective, a result that's much better tha…i`m on cam rn , come and see me💕https://t.co/crjkslprtj https://t.co/x7whqcsj9c	1.0	0	COVID-19	  drugmaker pfizer says early data from its covid  vaccine shows it is more than  effective a result thats much better thaim on cam rn  come and see me 	  drugmaker pfizer says early data from its covid  vaccine shows it is more than  effective a result thats much better thaim on cam rn  come and see me 	drugmaker pfizer says early data covid vaccine shows effective result thats much better thaim cam rn come see
45	 @dennd68: 🇨🇦 alberta, canada - sheila annette lewis who was denied an organ transplant because she didn't want a covid-19 vaccine has died.the supreme court of canada refused to even hear her case.that wasn't scientific, it was a vindictive punishment for refusing to do as she was… https://t.co/wlorl0cqlk	1.0	0	COVID-19	   albea canada  sheila annette lewis who was denied an organ transplant because she didnt want a covid  vaccine has diedthe supreme cou of canada refused to even hear her casethat wasnt scientific it was a vindictive punishment for refusing to do as she was 	   albea canada  sheila annette lewis who was denied an organ transplant because she didnt want a covid  vaccine has diedthe supreme cou of canada refused to even hear her casethat wasnt scientific it was a vindictive punishment for refusing to do as she was 	albea canada sheila annette lewis denied organ transplant didnt want covid vaccine diedthe supreme cou canada refused even hear casethat wasnt scientific vindictive punishment refusing
46	 @dmills3710: dod whistleblower, lt. ted macie, goes public, calls for investigation into new covid vaccine injury datalast march, macie revealed health data from us military showing spike in myocarditis after covid-19 vaccine rollout. now reveals new data…https://t.co/uqitf0ymag https://t.co/bcc4vckoh2	1.0	0	COVID-19	  dod whistleblower lt ted macie goes public calls for investigation into new covid vaccine injury datalast march macie revealed health data from us military showing spike in myocarditis after covid  vaccine rollout now reveals new data 	  dod whistleblower lt ted macie goes public calls for investigation into new covid vaccine injury datalast march macie revealed health data from us military showing spike in myocarditis after covid  vaccine rollout now reveals new data 	dod whistleblower lt ted macie goes public calls investigation new covid vaccine injury datalast march macie revealed health data us military showing spike myocarditis covid vaccine rollout reveals new data
