	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word
15	#Nobel per la #medicina ai #vaccini a mRna contro #Covid - Galileo #Salute https://t.co/O9PV1vqtNe	1.0	0.0	2023-10-02 14:19	nobel per la medicina ai vaccini a mrna contro covid  galileo salute 	vaccini	nobel per la medicina ai  a mrna contro covid  galileo salute 
16	#TerremotoRagazzi ma di cosa vi meravigliate, tutti questi terremoti sono colpa dei vaccini....????????	1.0	1.0	2023-10-04 8:28	terremotoragazzi ma di cosa vi meravigliate tutti questi terremoti sono colpa dei vaccini	vaccini	terremotoragazzi ma di cosa vi meravigliate tutti questi terremoti sono colpa dei 
17	"#Vaccini #antinfluenzali. Da Oms composizione raccomandata per la stagione influenzale dell'emisfero Sud 2024. ""Virus A circolati più di B. Ma in Europa prevale il tipo B"" #Sanità https://t.co/XD9iAQ26lF"	1.0	0.0	2023-10-02 10:18	vaccini antinfluenzali da oms composizione raccomandata per la stagione influenzale dellemisfero sud  virus a circolati più di b ma in europa prevale il tipo b sanità 	vaccini	 antinfluenzali da oms composizione raccomandata per la stagione influenzale dellemisfero sud  virus a circolati più di b ma in europa prevale il tipo b sanità 
18	#vaccini, pronti per la combo #COVID-#influenzahttps://t.co/Hi9QaBqHZd#Eurocomunicazione #COVID19 #influenza #antinfluenzale #anticovid #personalesanitario #Salute #sanità #Schillaci #Vaia #ECDC #prevenzione #malattia #Migliore #mascherine #dad #scuole #virus @MinisteroSalute	1.0	0.0	2023-09-24 15:14	vaccini pronti per la combo covid influenza covid  influenza antinfluenzale anticovid personalesanitario salute sanità schillaci vaia ecdc prevenzione malattia migliore mascherine dad scuole virus 	vaccini	 pronti per la combo covid influenza covid  influenza antinfluenzale anticovid personalesanitario salute sanità schillaci vaia ecdc prevenzione malattia migliore mascherine dad scuole virus 
20	?@EmanueleFoca? al@congresso SIGG Lombardia: stato dell'arte sui vaccini nell'anziano https://t.co/LZhEQBJ0Rr	1.0	0.0	2023-10-07 14:03	 al sigg lombardia stato dellae sui vaccini nellanziano 	vaccini	 al sigg lombardia stato dellae sui  nellanziano 
21	@fuoridalcorotv ci risiamo con i vaccini...ma uno se lo vuol fare lo fa se no fa a Meno ma e semplice	1.0	0.0	2023-09-20 20:58	 ci risiamo con i vaccinima uno se lo vuol fare lo fa se no fa a meno ma e semplice	vaccini	 ci risiamo con i ma uno se lo vuol fare lo fa se no fa a meno ma e semplice
22	@mariogiordano5 SS.  Cambio al vertice, prima di eleggere il nuovo presidente. Invece devono  essere cambiati tutti i membri di questo che io  ho sempre definito: Istituto INFERIORE di Sanità,per averci terrorizzato in questi ultimi 4  anni di restrizioni e di vaccini obbligatori https://t.co/swWzUuRJ4Q	1.0	0.0	2023-09-12 13:57	 ss  cambio al veice prima di eleggere il nuovo presidente invece devono  essere cambiati tutti i membri di questo che io  ho sempre definito istituto inferiore di sanitàper averci terrorizzato in questi ultimi   anni di restrizioni e di vaccini obbligatori 	vaccini	 ss  cambio al veice prima di eleggere il nuovo presidente invece devono  essere cambiati tutti i membri di questo che io  ho sempre definito istituto inferiore di sanitàper averci terrorizzato in questi ultimi   anni di restrizioni e di  obbligatori 
23	++ Nobel Medicina a Karikò e Weissman per vaccini a mRna ++: La scoperta ha aperto la via ai vaccini anti Covid-19 https://t.co/TaxqnDnDC3	1.0	0.0	2023-10-02 10:02	 nobel medicina a karikò e weissman per vaccini a mrna  la scopea ha apeo la via ai vaccini anti covid  	vaccini	 nobel medicina a karikò e weissman per  a mrna  la scopea ha apeo la via ai  anti covid  
24	?? I VACCINATI NON PRENDONO IL #COVID19?? FALSO?? I VACCINATI NON FINISCONO IN TERAPIA INTENSIVA.??FALSO, IL 92% DEI MORTI DA COVID SONO VACCINATI.BASTA #FAKENEWS #JoeBiden #JillBiden #Schillaci #Governo #vaccini #5settembre #USA #OMS https://t.co/3SG438t0tX	1.0	1.0	2023-09-05 8:23	 i vaccinati non prendono il covid  falso i vaccinati non finiscono in terapia intensivafalso il  dei moi da covid sono vaccinatibasta fakenews joebiden jillbiden schillaci governo vaccini settembre usa oms 	vaccini	 i vaccinati non prendono il covid  falso i vaccinati non finiscono in terapia intensivafalso il  dei moi da covid sono vaccinatibasta fakenews joebiden jillbiden schillaci governo  settembre usa oms 
27	"A questo ""eretico"", lo paga qualcuno per scrivere le minchiate che scrive.Senti:I vaccini per definizione ante Lorenzin, dovevano avere una reazione avversa grave ogni milione di inoculazioni.Chiaro coglionazzo? https://t.co/t5HsV5s7Ea"	1.0	1.0	2023-10-05 4:30	a questo eretico lo paga qualcuno per scrivere le minchiate che scrivesentii vaccini per definizione ante lorenzin dovevano avere una reazione avversa grave ogni milione di inoculazionichiaro coglionazzo 	vaccini	a questo eretico lo paga qualcuno per scrivere le minchiate che scrivesentii  per definizione ante lorenzin dovevano avere una reazione avversa grave ogni milione di inoculazionichiaro coglionazzo 
28	"A Radio 1 medico no vax ""sconfessa"" i vaccini. E la Rai si dissocia https://t.co/y3d3bmR2g2"	1.0	0.0	2023-09-19 18:38	a radio  medico no vax sconfessa i vaccini e la rai si dissocia 	vaccini	a radio  medico no vax sconfessa i  e la rai si dissocia 
29	@GeneralMCNews @dessere88fenice Il vero problema non è Bill Gates... Il problema è la gente che ha ancora e comunque fiducia in lui nonostante vaccini, piani pandemici, tamponi, mascherine.. oltre ad essere amico di Jeffrey Epstein	1.0	0.0	2023-08-30 8:26	  il vero problema non è bill gates il problema è la gente che ha ancora e comunque fiducia in lui nonostante vaccini piani pandemici tamponi mascherine oltre ad essere amico di jeffrey epstein	vaccini	  il vero problema non è bill gates il problema è la gente che ha ancora e comunque fiducia in lui nonostante  piani pandemici tamponi mascherine oltre ad essere amico di jeffrey epstein
30	Ah ma se avessero letto i tweet dei #novax , invece degli studi scientifici soggetti a revisione comparata, mica glielo avrebbero dato il Nobel.Ignoranti!#NobelPrize #Covid #COVID19 https://t.co/8VPSPVoP3j	1.0	0.0	2023-10-02 13:57	ah ma se avessero letto i tweet dei novax  invece degli studi scientifici soggetti a revisione comparata mica glielo avrebbero dato il nobelignorantinobelprize covid covid  	vaccini	ah ma se avessero letto i tweet dei novax  invece degli studi scientifici soggetti a revisione comparata mica glielo avrebbero dato il nobelignorantinobelprize covid covid  
31	Ai vaccini dategli ??	1.0	0.0	2023-09-27 18:23	ai vaccini dategli 	vaccini	ai  dategli 
32	Air Vax  Il prossimo VACCINO a mRNA arriverà direttamente nei POLMONI https://t.co/56Xix8glXI	1.0	0.0	2023-10-04 6:30	air vax  il prossimo vaccino a mrna arriverà direttamente nei polmoni 	vaccini	air vax  il prossimo vaccino a mrna arriverà direttamente nei polmoni 
33	@claudiogardini2 @EBarchielliFi @IlNazionale LmRNA dei vaccini per il Covid19 fa produrre la spike ai ribosomi citoplasmatici. Essendo un proteina estranea viene stimolata la risposta immunitaria e si producono anticorpi.	1.0	0.0	2023-08-30 9:21	   lmrna dei vaccini per il covid  fa produrre la spike ai ribosomi citoplasmatici essendo un proteina estranea viene stimolata la risposta immunitaria e si producono anticorpi	vaccini	   lmrna dei  per il covid  fa produrre la spike ai ribosomi citoplasmatici essendo un proteina estranea viene stimolata la risposta immunitaria e si producono anticorpi
34	@FrancyontheMoon Queste ancora ossessionate dai vaccini sono persone che hanno trovato nei vaccini un momento di visibilità, che non hanno nient'altro da dire, che vivono in una bolla. Chiunque viva nel mondo reale si rende conto che sono sciocchezze.	1.0	0.0	2023-08-30 9:22	 queste ancora ossessionate dai vaccini sono persone che hanno trovato nei vaccini un momento di visibilità che non hanno nientaltro da dire che vivono in una bolla chiunque viva nel mondo reale si rende conto che sono sciocchezze	vaccini	 queste ancora ossessionate dai  sono persone che hanno trovato nei  un momento di visibilità che non hanno nientaltro da dire che vivono in una bolla chiunque viva nel mondo reale si rende conto che sono sciocchezze
35	Andrea Purgatori non è deceduto per una malattia fulminante da metastasi al cervello - è risultato che non ne aveva, quindi l'ipotesi di una reazione ai vaccini diventa reale. Abbiate cura di voi stessi, difendere la propria salute vale molto di più https://t.co/wqksQOP9iK	1.0	1.0	2023-09-28 8:41	andrea purgatori non è deceduto per una malattia fulminante da metastasi al cervello  è risultato che non ne aveva quindi lipotesi di una reazione ai vaccini diventa reale abbiate cura di voi stessi difendere la propria salute vale molto di più 	vaccini	andrea purgatori non è deceduto per una malattia fulminante da metastasi al cervello  è risultato che non ne aveva quindi lipotesi di una reazione ai  diventa reale abbiate cura di voi stessi difendere la propria salute vale molto di più 
36	Anita censurata sul discorso dei vaccini  #gf	1.0	0.0	2023-09-14 13:31	anita censurata sul discorso dei vaccini  gf	vaccini	anita censurata sul discorso dei   gf
38	Arrivati nelle Marche i nuovi vaccini contro il Covid. Al via la campagna antinfluenzale https://t.co/srPbtETlBt #coronavirus #Covid19	1.0	0.0	2023-09-28 8:59	arrivati nelle marche i nuovi vaccini contro il covid  al via la campagna antinfluenzale  coronavirus covid 	vaccini	arrivati nelle marche i nuovi  contro il covid  al via la campagna antinfluenzale  coronavirus covid 
39	Arrivati nelle Marche i nuovi vaccini contro il Covid: al via dal 12 ottobre la campagna antinfluenzale https://t.co/NbXaKyi6oZ	1.0	0.0	2023-09-28 8:31	arrivati nelle marche i nuovi vaccini contro il covid al via dal  ottobre la campagna antinfluenzale 	vaccini	arrivati nelle marche i nuovi  contro il covid al via dal  ottobre la campagna antinfluenzale 
40	Aumentano i casi Covid in Puglia, in arrivo la prossima settimana i nuovi vaccini https://t.co/Kj8vFt3wvP https://t.co/pc0o7x9wUM	1.0	0.0	2023-10-07 11:34	aumentano i casi covid in puglia in arrivo la prossima settimana i nuovi vaccini  	vaccini	aumentano i casi covid in puglia in arrivo la prossima settimana i nuovi   
42	"Bufera su RadioUno, la Rai si dissocia dalla trasmissione di Marcello Foa: ospitato un medico no vax (sospeso dall'Ordine) che definisce i vaccini ""volontà di fare del male"" https://t.co/53l1uVavuC via @fattoquotidiano"	1.0	1.0	2023-09-19 16:40	bufera su radiouno la rai si dissocia dalla trasmissione di marcello foa ospitato un medico no vax sospeso dallordine che definisce i vaccini volontà di fare del male  via 	vaccini	bufera su radiouno la rai si dissocia dalla trasmissione di marcello foa ospitato un medico no vax sospeso dallordine che definisce i  volontà di fare del male  via 
43	Con priorità per soggetti e operatori residenti nelle rsa.#IoSeguoTgr #29settembre #vaccini #Covid https://t.co/rSeeYlfGSW	1.0	0.0	2023-09-29 6:20	con priorità per soggetti e operatori residenti nelle rsaioseguotgr settembre vaccini covid 	vaccini	con priorità per soggetti e operatori residenti nelle rsaioseguotgr settembre  covid 
44	Covid Italia, arriva la circolare sui vaccini: ecco le misurehttps://t.co/Cz1cBnLTtH	1.0	0.0	2023-09-27 17:40	covid italia arriva la circolare sui vaccini ecco le misure	vaccini	covid italia arriva la circolare sui  ecco le misure
45	@suescore tu non hai idea di come mi facciano senso gli aghi le punture i vaccini il dolore il sangue ecc	1.0	0.0	2023-08-30 23:07	 tu non hai idea di come mi facciano senso gli aghi le punture i vaccini il dolore il sangue ecc	vaccini	 tu non hai idea di come mi facciano senso gli aghi le punture i  il dolore il sangue ecc
46	"Covid Schillaci: ""Tra 15 giorni pronti nuovi vaccini"" - #Covid #Schillaci: #giorni #pronti https://t.co/k6V92ZjN4H https://t.co/kKG8uiBv3D"	1.0	0.0	2023-09-14 12:09	covid schillaci tra  giorni pronti nuovi vaccini  covid schillaci giorni pronti  	vaccini	covid schillaci tra  giorni pronti nuovi   covid schillaci giorni pronti  
47	Covid, ChatGpt smonta fake su vaccini, studio 'può far crescere adesioni' #COVID19https://t.co/Hl23MWaL2B https://t.co/FBjh6eDIZV	1.0	0.0	2023-09-08 15:00	covid  chatgpt smonta fake su vaccini studio può far crescere adesioni covid  	vaccini	covid  chatgpt smonta fake su  studio può far crescere adesioni covid  
48	Covid, nuovi vaccini contro le varianti: quali sono https://t.co/ZsdEK8phX7	1.0	0.0	2023-09-12 9:22	covid  nuovi vaccini contro le varianti quali sono 	vaccini	covid  nuovi  contro le varianti quali sono 
49	"Covid, Schillaci: ""Tra 15 giorni pronti nuovi vaccini"" https://t.co/Jh5teGBViG"	1.0	0.0	2023-09-14 22:02	covid  schillaci tra  giorni pronti nuovi vaccini 	vaccini	covid  schillaci tra  giorni pronti nuovi  
53	"Covid, Schillaci: ""Tra 15 giorni pronti nuovi vaccini"" https://t.co/KeCostcI2g"	1.0	0.0	2023-09-14 19:41	covid  schillaci tra  giorni pronti nuovi vaccini 	vaccini	covid  schillaci tra  giorni pronti nuovi  
55	Credono ai microchip nei vaccini azionati col cinqueggì da Soros ma per i bambini decapitati non gli basterebbero neanche dei video asseverati da un collegio di periti della Corte Internazionale perché allora sarebbe pagata da Soros pure quella. Andate a fare in culo.	1.0	0.0	2023-10-12 19:11	credono ai microchip nei vaccini azionati col cinqueggì da soros ma per i bambini decapitati non gli basterebbero neanche dei video asseverati da un collegio di periti della coe internazionale perché allora sarebbe pagata da soros pure quella andate a fare in culo	vaccini	credono ai microchip nei  azionati col cinqueggì da soros ma per i bambini decapitati non gli basterebbero neanche dei video asseverati da un collegio di periti della coe internazionale perché allora sarebbe pagata da soros pure quella andate a fare in culo
56	"Curioso riguardo al tizio che nel giugno 2023 si è fatto intervistare da TGR Lazio su long COVID e vaccini. Nell'intervista in cui spiega malissimo le sua ricerche andando oltre lo sproloquio per i mattoncini e simili è praticamente un luminare, per poi diventare un ""cialtrone"" &gt;"	1.0	0.0	2023-09-16 9:00	curioso riguardo al tizio che nel giugno  si è fatto intervistare da tgr lazio su long covid e vaccini nellintervista in cui spiega malissimo le sua ricerche andando oltre lo sproloquio per i mattoncini e simili è praticamente un luminare per poi diventare un cialtrone gt	vaccini	curioso riguardo al tizio che nel giugno  si è fatto intervistare da tgr lazio su long covid e  nellintervista in cui spiega malissimo le sua ricerche andando oltre lo sproloquio per i mattoncini e simili è praticamente un luminare per poi diventare un cialtrone gt
57	Dittatura sanitaria e profitto, il business dei vaccini e la pericolosa commistione pubblico e privato#Covid https://t.co/oixyFs91BT	1.0	0.0	2023-09-14 19:00	dittatura sanitaria e profitto il business dei vaccini e la pericolosa commistione pubblico e privatocovid 	vaccini	dittatura sanitaria e profitto il business dei  e la pericolosa commistione pubblico e privatocovid 
58	Dopo aver dato il #Nobel per la pace al guerrafondao #Obama, oggi danno il #Nobelpreis per la medicina agli inventori sul metodo dell'#RNA usato nei #vaccini per il #Covid. Siamo alla follia e al tempo stesso alle barzellette. #2ottobre #Nobel #segretomilitare https://t.co/2zdkaSS4Ic	1.0	0.0	2023-10-02 16:07	dopo aver dato il nobel per la pace al guerrafondao obama oggi danno il nobelpreis per la medicina agli inventori sul metodo dellrna usato nei vaccini per il covid  siamo alla follia e al tempo stesso alle barzellette ottobre nobel segretomilitare 	vaccini	dopo aver dato il nobel per la pace al guerrafondao obama oggi danno il nobelpreis per la medicina agli inventori sul metodo dellrna usato nei  per il covid  siamo alla follia e al tempo stesso alle barzellette ottobre nobel segretomilitare 
61	fate i nuovi vaccinisono veram efficaci,anzi più efficaci,coprono tutto110% per semprefidatevi della scienza... https://t.co/zGlNVkxzhR	1.0	0.0	2023-09-22 9:21	fate i nuovi vaccinisono veram efficacianzi più efficacicoprono tutto per semprefidatevi della scienza 	vaccini	fate i nuovi sono veram efficacianzi più efficacicoprono tutto per semprefidatevi della scienza 
62	forza  forza  forza  anziani fragili correte a vaccinarvi !L'INPS conta su di voi  @pfizer @pfizeritalia @Autismo_Vaccini @INPS_it @UnioneEuropea_ @Montecitorio @LaVeritaWeb @lanuovaBQ @Pericardite #miocardite @a_meluzzi @AStramezzi @Luciano39420470 @byoblu @revcarlo https://t.co/hMXftDwo4Y	1.0	0.0	2023-09-02 13:48	forza  forza  forza  anziani fragili correte a vaccinarvi linps conta su di voi           miocardite      	vaccini	forza  forza  forza  anziani fragili correte a vaccinarvi linps conta su di voi           miocardite      
63	Francese a Bruxelles demolisce la terapia genica spacciata per vaccinohttps://t.co/ig1WggE1ya	1.0	0.0	2023-08-31 9:37	francese a bruxelles demolisce la terapia genica spacciata per vaccino	vaccini	francese a bruxelles demolisce la terapia genica spacciata per vaccino
64	Giù le vendite dei vaccini Covid, si punta sulla pillola anti-obesità e sui farmaci contro il cancro. Così Pfizer vuole frenare la caduta in borsa (-34%) - Open https://t.co/oyIo6vlsWD	1.0	0.0	2023-10-08 3:13	giù le vendite dei vaccini covid  si punta sulla pillola antiobesità e sui farmaci contro il cancro così pfizer vuole frenare la caduta in borsa   open 	vaccini	giù le vendite dei  covid  si punta sulla pillola antiobesità e sui farmaci contro il cancro così pfizer vuole frenare la caduta in borsa   open 
76	"I cosiddetti ""vaccini"", in realtà ""INTRUGLI DI MERDA"", come dicono i #NOCAVIE , ve li potete infilare nel buco del culo. Si può dire ""culo""? https://t.co/13VLkIgqvK"	1.0	0.0	2023-09-20 7:13	i cosiddetti vaccini in realtà intrugli di merda come dicono i nocavie  ve li potete infilare nel buco del culo si può dire culo 	vaccini	i cosiddetti  in realtà intrugli di merda come dicono i nocavie  ve li potete infilare nel buco del culo si può dire culo 
77	I dubbi sul tema vaccini nascono in loschi scantinati bui? Nascono da blog sconosciuti e complottari? No, per lungo tempo alcuni temi cavalcavano gli stessi media che fino a ieri ci avrebbero voluto vedere impiccati come traditori della patria. Per lungo tempo, se pur censurate, https://t.co/EsiyXhEKgt	1.0	0.0	2023-08-31 10:22	i dubbi sul tema vaccini nascono in loschi scantinati bui nascono da blog sconosciuti e complottari no per lungo tempo alcuni temi cavalcavano gli stessi media che fino a ieri ci avrebbero voluto vedere impiccati come traditori della patria per lungo tempo se pur censurate 	vaccini	i dubbi sul tema  nascono in loschi scantinati bui nascono da blog sconosciuti e complottari no per lungo tempo alcuni temi cavalcavano gli stessi media che fino a ieri ci avrebbero voluto vedere impiccati come traditori della patria per lungo tempo se pur censurate 
78	I ricercatori Katalin Karikó e Drew Weissman sono stati insigniti del Nobel per la medicina per avere gettato le basi per i vaccini a mRna. Karikó è la tredicesima donna a vincere il titolo per la medicina https://t.co/Wbe8ZWvNCN	1.0	0.0	2023-10-02 17:49	i ricercatori katalin karikó e drew weissman sono stati insigniti del nobel per la medicina per avere gettato le basi per i vaccini a mrna karikó è la tredicesima donna a vincere il titolo per la medicina 	vaccini	i ricercatori katalin karikó e drew weissman sono stati insigniti del nobel per la medicina per avere gettato le basi per i  a mrna karikó è la tredicesima donna a vincere il titolo per la medicina 
80	Il #Nobel per la medicina agli scienziati del vaccino anti-Covid https://t.co/MpxcCKrcw1 #agi	1.0	0.0	2023-10-02 9:54	il nobel per la medicina agli scienziati del vaccino anticovid  agi	vaccini	il nobel per la medicina agli scienziati del vaccino anticovid  agi
81	"@FrancescaChaouq Leggo qui sotto, i commenti di molti analfabeti, che fingono di non capire il senso del messaggio. Lo abbiamo visto con la gestione della ""pandemia"", quanto sia sacro il lavoro per gli scappati di casa. O ti vaccini o non lavori."	1.0	0.0	2023-09-01 7:53	 leggo qui sotto i commenti di molti analfabeti che fingono di non capire il senso del messaggio lo abbiamo visto con la gestione della pandemia quanto sia sacro il lavoro per gli scappati di casa o ti vaccini o non lavori	vaccini	 leggo qui sotto i commenti di molti analfabeti che fingono di non capire il senso del messaggio lo abbiamo visto con la gestione della pandemia quanto sia sacro il lavoro per gli scappati di casa o ti  o non lavori
83	IL COVID SI CURA ???????? IL COVID SI CURA ???????? IL COVID SI CURA ???????? IL COVID SI CURA ???????? IL COVID SI CURA ????NON FATE TAMPONI. NON FATE VACCINI.	1.0	0.0	2023-09-11 10:58	il covid si cura  il covid si cura  il covid si cura  il covid si cura  il covid si cura non fate tamponi non fate vaccini	vaccini	il covid si cura  il covid si cura  il covid si cura  il covid si cura  il covid si cura non fate tamponi non fate 
84	Il governo non ha ancora ragionato sui vaccini... se lo dice il ministro della sanità bisognerà credergli #governo #meloni #vaccini #covid #schillaci	1.0	0.0	2023-09-14 16:46	il governo non ha ancora ragionato sui vaccini se lo dice il ministro della sanità bisognerà credergli governo meloni vaccini covid schillaci	vaccini	il governo non ha ancora ragionato sui  se lo dice il ministro della sanità bisognerà credergli governo meloni  covid schillaci
85	Il luminare: bene le misure del governo, no alle mascherine a scuola. I vaccini ai fragili https://t.co/XR115s8FK4	1.0	0.0	2023-09-17 6:00	il luminare bene le misure del governo no alle mascherine a scuola i vaccini ai fragili 	vaccini	il luminare bene le misure del governo no alle mascherine a scuola i  ai fragili 
86	Il Nobel per la Medicina 2023 a Karikò e Weissman per gli studi sui vaccini contro il Covid - Biotech - https://t.co/eT1wFGP0qG https://t.co/fyHdGptudE	1.0	0.0	2023-10-02 14:38	il nobel per la medicina  a karikò e weissman per gli studi sui vaccini contro il covid  biotech   	vaccini	il nobel per la medicina  a karikò e weissman per gli studi sui  contro il covid  biotech   
87	Il vignettista: «Noi dovremmo spernacchiare il potere, che oggi è il politicamente corretto. Invece se tocchi la Nato, i vaccini, i migranti o i gay qui in Italia sei morto». https://t.co/V5WCnwAlpU	1.0	0.0	2023-10-09 13:51	il vignettista noi dovremmo spernacchiare il potere che oggi è il politicamente corretto invece se tocchi la nato i vaccini i migranti o i gay qui in italia sei moo 	vaccini	il vignettista noi dovremmo spernacchiare il potere che oggi è il politicamente corretto invece se tocchi la nato i  i migranti o i gay qui in italia sei moo 
88	Iniziate voi: fatevene 10 dosi, ma di quelle vere, non placebo, poi vediamo come state.https://t.co/P3rHUCs7SX	1.0	1.0	2023-09-14 11:31	iniziate voi fatevene  dosi ma di quelle vere non placebo poi vediamo come state	vaccini	iniziate voi fatevene  dosi ma di quelle vere non placebo poi vediamo come state
89	Kariko e Weissman ottengono il Nobel, non per aver inventato i vaccini a mRNA (perché lo ha fatto Robert Malone) ma per aver aggiunto la pseudouridina che ha consentito la produzione di un numero illimitato di tossine spike in quella che avrebbe potuto essere una piattaforma https://t.co/7F36Pp6BYt	1.0	0.0	2023-10-02 17:56	kariko e weissman ottengono il nobel non per aver inventato i vaccini a mrna perché lo ha fatto robe malone ma per aver aggiunto la pseudouridina che ha consentito la produzione di un numero illimitato di tossine spike in quella che avrebbe potuto essere una piattaforma 	vaccini	kariko e weissman ottengono il nobel non per aver inventato i  a mrna perché lo ha fatto robe malone ma per aver aggiunto la pseudouridina che ha consentito la produzione di un numero illimitato di tossine spike in quella che avrebbe potuto essere una piattaforma 
90	"La gente comincia a mobilitarsi contro i cosidetti ""vaccini"" Il #12ottobre in provincia di Varese  documentario è dibattito sugli effetti avversi dei sieri #SARSCoV2 @boni_castellane @lameduck1960 @BarbaraRaval @Entreri_Arnodas@bassarelli https://t.co/1S2M4jOGCn"	1.0	0.0	2023-10-01 14:47	la gente comincia a mobilitarsi contro i cosidetti vaccini il ottobre in provincia di varese  documentario è dibattito sugli effetti avversi dei sieri sarscov     	vaccini	la gente comincia a mobilitarsi contro i cosidetti  il ottobre in provincia di varese  documentario è dibattito sugli effetti avversi dei sieri sarscov     
