	Content	Vaccine content	Vaccine safety	date	text_clean	Filter	text_wo_filter_word	text_wo_stopwords_or_filters
21	RT @TheRustler83: 2020A Flu-like pandemic arrivesThe Flu disappears2021A first-ever Coronavirus Vaccine is given to 4 Billion people202295% of 'COVID' deaths in the UK are amongst the vaccinatedFlu is back2023The UK records highest levels of excess death at any time over the 'pandemic' https://t.co/gRozOo5evW	1.0	1.0	2023-08-01 20:51	  a flulike pandemic arrivesthe flu disappearsa firstever coronavirus vaccine is given to  billion people of covid  deaths in the uk are amongst the vaccinatedflu is backthe uk records highest levels of excess death at any time over the pandemic 	vaccine	  a flulike pandemic arrivesthe flu disappearsa firstever coronavirus  is given to  billion people of covid  deaths in the uk are amongst the vaccinatedflu is backthe uk records highest levels of excess death at any time over the pandemic 	flulike pandemic arrivesthe flu disappearsa firstever coronavirus given billion people covid deaths uk amongst vaccinatedflu backthe uk records highest levels excess death time pandemic
22	"""It's Just a Fairy Tale"": They're Still Saying C19 Vaccine Damage ""Doesn't Exist"" in the Netherlands?????? https://t.co/mmLSHgmKN4"	1.0	1.0	2023-08-01 20:58	its just a fairy tale theyre still saying c vaccine damage doesnt exist in the netherlands 	vaccine	its just a fairy tale theyre still saying c  damage doesnt exist in the netherlands 	fairy tale theyre still saying c damage doesnt exist netherlands
25	RT @chrissaccoccia1: Will you take an ANNUAL COVID VACCINE, as per @CDCgov recommendations?https://t.co/aKex2JUlQx  #covid #cdc #vaccine #annual #covidvaccine #booster #boosted https://t.co/DYaJPc5nJg	1.0	0.0	2023-08-01 22:23	  will you take an annual covid vaccine  as per  recommendations  covid cdc vaccine annual covid accine booster boosted 	vaccine	  will you take an annual covid   as per  recommendations  covid cdc  annual covid accine booster boosted 	take annual covid per recommendations covid cdc annual covid accine booster boosted
26	RT @BernieSpofforth: CORRUPTION - This is Andrew Mitchell MP. The man who forced elected representatives to leave parliament during Andrew Bridgen's  speech on vaccine harms.Can you see why yet? ?? https://t.co/qcCRZaubA7	1.0	1.0	2023-08-01 23:23	  corruption  this is andrew mitchell mp the man who forced elected representatives to leave parliament during andrew bridgens  speech on vaccine harmscan you see why yet  	vaccine	  corruption  this is andrew mitchell mp the man who forced elected representatives to leave parliament during andrew bridgens  speech on  harmscan you see why yet  	corruption andrew mitchell mp man forced elected representatives leave parliament andrew bridgens speech harmscan see yet
27	RT @MoonMaiden88: And so, I will keep repeating it:The COVID virus does not exist.In fact, no virus has ever been demonstrated to be taken from a sick host and shown to be pathogenic in nature. Ever.This means every vaccine in history is obsolete. All of them, not just the COVID jab. https://t.co/zGn8gGiT5v	1.0	0.0	2023-08-01 23:37	  and so i will keep repeating itthe covid virus does not existin fact no virus has ever been demonstrated to be taken from a sick host and shown to be pathogenic in nature everthis means every vaccine in history is obsolete all of them not just the covid jab 	vaccine	  and so i will keep repeating itthe covid virus does not existin fact no virus has ever been demonstrated to be taken from a sick host and shown to be pathogenic in nature everthis means every  in history is obsolete all of them not just the covid jab 	keep repeating itthe covid virus existin fact virus ever demonstrated taken sick host shown pathogenic nature everthis means every history obsolete covid jab
29	"RT @louisaclary: After collapsing due to myocarditis, Oscar Cabrera, 28 yr. old professional basketball player posted on Instagram, ""I got damn myocarditis from taking a f****** vaccine. (I got 2 doses of Pfizer) and I knew it! Many people warned me...But guess what? It was compulsory or I https://t.co/TNqXVNsY6s"	1.0	1.0	2023-08-02 6:16	  after collapsing due to myocarditis oscar cabrera 8 yr old professional basketball player posted on instagram i got damn myocarditis from taking a f vaccine  i got  doses of pfizer and i knew it many people warned mebut guess what it was compulsory or i 	vaccine	  after collapsing due to myocarditis oscar cabrera 8 yr old professional basketball player posted on instagram i got damn myocarditis from taking a f   i got  doses of pfizer and i knew it many people warned mebut guess what it was compulsory or i 	collapsing due myocarditis oscar cabrera 8 yr old professional basketball player posted instagram got damn myocarditis taking f got doses pfizer knew many people warned mebut guess compulsory
30	"RT @LMShe4: ""... you will see this vaccine for what it is, a blatant pseudoscientific creation by pharma, rubber stamped by governments, to enrich themselves by using the fear of cancer."""	1.0	0.0	2023-08-02 8:27	   you will see this vaccine for what it is a blatant pseudoscientific creation by pharma rubber stamped by governments to enrich themselves by using the fear of cancer	vaccine	   you will see this  for what it is a blatant pseudoscientific creation by pharma rubber stamped by governments to enrich themselves by using the fear of cancer	see blatant pseudoscientific creation pharma rubber stamped governments enrich using fear cancer
31	RT @stkirsch: A list of doctors recommending the book Turtles all the Way down: Vaccine science and myth https://t.co/oAjyI9YVyc	1.0	0.0	2023-08-02 10:15	  a list of doctors recommending the book tules all the way down vaccine science and myth 	vaccine	  a list of doctors recommending the book tules all the way down  science and myth 	list doctors recommending book tules way science myth
32	RT @JoshWalkos: Documentary Sacrificial Virgins (2017)So named because the HPV vaccine is often given to girls before they become sexually active. This short documentary exposes increasing evidence of serious neurological damage following the HPV injections, including death. The British https://t.co/pLmXM4BZ1w	1.0	1.0	2023-08-02 10:41	  documentary sacrificial virgins so named because the hpv vaccine is often given to girls before they become sexually active this sho documentary exposes increasing evidence of serious neurological damage following the hpv injections including death the british 	vaccine	  documentary sacrificial virgins so named because the hpv  is often given to girls before they become sexually active this sho documentary exposes increasing evidence of serious neurological damage following the hpv injections including death the british 	documentary sacrificial virgins named hpv often given girls become sexually active sho documentary exposes increasing evidence serious neurological damage following hpv injections including death british
33	RT @WhatNowDoc: YOU MUST READ/SHARE THIS. I don't normally shout but this is the most important collection of facts since Covid began. Moderna just declared they paid $400 million commission to  Fauci's organisation. This for the 'vaccine' they created to fight a virus https://t.co/Zrf1aCCzM3	1.0	0.0	2023-08-02 11:01	  you must readshare this i dont normally shout but this is the most impoant collection of facts since covid began moderna just declared they paid  million commission to  faucis organisation this for the vaccine  they created to fight a virus 	vaccine	  you must readshare this i dont normally shout but this is the most impoant collection of facts since covid began moderna just declared they paid  million commission to  faucis organisation this for the   they created to fight a virus 	must readshare dont normally shout impoant collection facts since covid began moderna declared paid million commission faucis organisation created fight virus
35	"RT @ClareCraigPath: MHRA have just approved another covid vaccine.""The most common side effects were mild, and self-resolved within a few days of vaccination.""It was tested on 765 adults. The control group were given Pfizer.&gt;10% caught covid &gt;14 days later.https://t.co/snF70KXKTr https://t.co/SLxnIBuzAw"	1.0	1.0	2023-08-02 11:50	  mhra have just approved another covid vaccine the most common side effects were mild and selfresolved within a few days of vaccinationit was tested on  adults the control group were given pfizergt caught covid gt days later 	vaccine	  mhra have just approved another covid  the most common side effects were mild and selfresolved within a few days of vaccinationit was tested on  adults the control group were given pfizergt caught covid gt days later 	mhra approved another covid common side effects mild selfresolved within days vaccinationit tested adults control group given pfizergt caught covid gt days later
36	RT @hwluton: Measles cases are rising in England.You can still ask your GP practice for the MMR vaccine if your child has missed either of these 2 doses. For more info ?? https://t.co/iCcyCIiHz6 https://t.co/bXN286Oz1M	1.0	0.0	2023-08-02 14:38	  measles cases are rising in englandyou can still ask your gp practice for the mmr vaccine if your child has missed either of these  doses for more info   	vaccine	  measles cases are rising in englandyou can still ask your gp practice for the mmr  if your child has missed either of these  doses for more info   	measles cases rising englandyou still ask gp practice mmr child missed either doses info
39	Bit late! So far WHO database at https://t.co/ypCZN2yRqD records over 5m non duplicated covid-19 vaccine adverse reactions!	1.0	1.0	2023-08-02 15:57	bit late so far who database at  records over m non duplicated covid  vaccine adverse reactions	vaccine	bit late so far who database at  records over m non duplicated covid   adverse reactions	bit late far database records non duplicated covid adverse reactions
42	RT @C19VaxInjured: WOW! @MHRAgovuk You block someone severely injured by the vaccine.  Shame on you.  Justice will prevail! https://t.co/abOoD7WDmG	1.0	1.0	2023-08-02 16:30	  wow  you block someone severely injured by the vaccine   shame on you  justice will prevail 	vaccine	  wow  you block someone severely injured by the    shame on you  justice will prevail 	wow block someone severely injured shame justice prevail
44	RT @oneadds: A Government agency Blocking me for being severely injured from a vaccine they lied about as being Safe and Effective This is the world we are living in If anyone can find a tweet or anything from me that's disrespectful in the circumstances to @MHRAgovuk to Warrant this https://t.co/2rXnd1OLRl	1.0	1.0	2023-08-02 17:58	  a government agency blocking me for being severely injured from a vaccine they lied about as being safe and effective this is the world we are living in if anyone can find a tweet or anything from me thats disrespectful in the circumstances to  to warrant this 	vaccine	  a government agency blocking me for being severely injured from a  they lied about as being safe and effective this is the world we are living in if anyone can find a tweet or anything from me thats disrespectful in the circumstances to  to warrant this 	government agency blocking severely injured lied safe effective world living anyone find tweet anything thats disrespectful circumstances warrant
45	RT @mvankerkhove: . @WHO continues to urge Member States to maintain, not dismantle, established #COVID19 infrastructure: sustain surveillance &amp; reporting, variant tracking, early clinical care provision, vaccine boosters to high-risk groups, ventilation improvements, communication, etc	1.0	0.0	2023-08-02 18:06	    continues to urge member states to maintain not dismantle established covid  infrastructure sustain surveillance  repoing variant tracking early clinical care provision vaccine boosters to highrisk groups ventilation improvements communication etc	vaccine	    continues to urge member states to maintain not dismantle established covid  infrastructure sustain surveillance  repoing variant tracking early clinical care provision  boosters to highrisk groups ventilation improvements communication etc	continues urge member states maintain dismantle established covid infrastructure sustain surveillance repoing variant tracking early clinical care provision boosters highrisk groups ventilation improvements communication etc
47	RT @backtolife_2023: Swiss study finds that COVID vaccine heart injury up to 20 times more common than previously claimedhttps://t.co/EXegKmR5yn	1.0	1.0	2023-08-02 19:00	  swiss study finds that covid vaccine hea injury up to  times more common than previously claimed	vaccine	  swiss study finds that covid  hea injury up to  times more common than previously claimed	swiss study finds covid hea injury times common previously claimed
56	RT @amuse: VACCINE: The NFL required players to take an experimental vaccine and now players who are suffering from heart conditions are being cut from teams. https://t.co/oulUE2BOe3 https://t.co/6HsdTbK6BC	1.0	1.0	2023-08-02 22:29	  vaccine the nfl required players to take an experimental vaccine and now players who are suffering from hea conditions are being cut from teams  	vaccine	   the nfl required players to take an experimental  and now players who are suffering from hea conditions are being cut from teams  	nfl required players take experimental players suffering hea conditions cut teams
57	RT @RWMaloneMD: Swiss study finds that COVID vaccine heart injury up to 20 times more common than previously claimed - LifeSitehttps://t.co/ptjJsCSD4i	1.0	1.0	2023-08-03 0:38	  swiss study finds that covid vaccine hea injury up to  times more common than previously claimed  lifesite	vaccine	  swiss study finds that covid  hea injury up to  times more common than previously claimed  lifesite	swiss study finds covid hea injury times common previously claimed lifesite
66	RT @LarsenDisney: WHO should research vaccine injury, depression caused by lockdown, and paranoia due to Covid/Climate Change psyops. They'll find their answers there.	1.0	1.0	2023-08-03 7:53	  who should research vaccine injury depression caused by lockdown and paranoia due to covid climate change psyops theyll find their answers there	vaccine	  who should research  injury depression caused by lockdown and paranoia due to covid climate change psyops theyll find their answers there	research injury depression caused lockdown paranoia due covid climate change psyops theyll find answers
69	"RT @MaajidNawaz: Did @ElonMusk's new WEF cabal CEO @lindayaX Yaccarino just NUKE an account (tweet below) that yesterday posted THIS from Wikipedia about her working with BIDEN &amp; the POPE in a pro-VACCINE campaign?LINK: https://t.co/rWIFq8GIuVYaccarino, why does the account ""no longer exist""? https://t.co/nACmcWhFAm"	1.0	0.0	2023-08-03 8:52	  did s new wef cabal ceo  yaccarino just nuke an account tweet below that yesterday posted this from wikipedia about her working with biden  the pope in a provaccine campaignlink  why does the account no longer exist 	vaccine	  did s new wef cabal ceo  yaccarino just nuke an account tweet below that yesterday posted this from wikipedia about her working with biden  the pope in a pro campaignlink  why does the account no longer exist 	new wef cabal ceo yaccarino nuke account tweet yesterday posted wikipedia working biden pope pro campaignlink account longer exist
70	RT @BladeoftheS: Rishi Sunak didn't declare that he was giving £50m to his father-in-law as Chancellor.  He didn't declare he owned £530m of shares in Moderna when he bought the Covid vaccine off them.  Now he bungs his wife Government money.  3 strikes he should be fired. https://t.co/D9KpfEAVnD	1.0	0.0	2023-08-03 9:06	  rishi sunak didnt declare that he was giving m to his fatherinlaw as chancellor  he didnt declare he owned m of shares in moderna when he bought the covid vaccine off them  now he bungs his wife government money   strikes he should be fired 	vaccine	  rishi sunak didnt declare that he was giving m to his fatherinlaw as chancellor  he didnt declare he owned m of shares in moderna when he bought the covid  off them  now he bungs his wife government money   strikes he should be fired 	rishi sunak didnt declare giving fatherinlaw chancellor didnt declare owned shares moderna bought covid bungs wife government money strikes fired
74	RT @SaiKate108: Pfizer Australia refuses to acknowledge that MRNA technology is gene therapy.Despite the fact that Pfizer admits gene technology includes transfection which is part of the vaccine process.They refused to answer whether any potential claims would be indemnified by the https://t.co/m2eIEDsVxf	1.0	0.0	2023-08-03 10:25	  pfizer australia refuses to acknowledge that mrna technology is gene therapydespite the fact that pfizer admits gene technology includes transfection which is pa of the vaccine processthey refused to answer whether any potential claims would be indemnified by the 	vaccine	  pfizer australia refuses to acknowledge that mrna technology is gene therapydespite the fact that pfizer admits gene technology includes transfection which is pa of the  processthey refused to answer whether any potential claims would be indemnified by the 	pfizer australia refuses acknowledge mrna technology gene therapydespite fact pfizer admits gene technology includes transfection pa processthey refused answer whether potential claims would indemnified
76	RT @SCMountainGoat: @woado_ My response would be why didn't you stick up for your colleagues, ban together and refuse to show up, if they were fired for refusing the COVID-19 vaccine? Why did you stand by as people you knew for years had their lives ruined?	1.0	0.0	2023-08-03 10:55	   my response would be why didnt you stick up for your colleagues ban together and refuse to show up if they were fired for refusing the covid  vaccine  why did you stand by as people you knew for years had their lives ruined	vaccine	   my response would be why didnt you stick up for your colleagues ban together and refuse to show up if they were fired for refusing the covid    why did you stand by as people you knew for years had their lives ruined	response would didnt stick colleagues ban together refuse show fired refusing covid stand people knew years lives ruined
79	RT @arnau1700: @GBNEWS If a deadly and highly transmissible virus (worse than COVID) should start spreading in the UK in the future, what should the initial response be if there were no vaccine yet developed for it?	1.0	0.0	2023-08-03 11:35	   if a deadly and highly transmissible virus worse than covid  should sta spreading in the uk in the future what should the initial response be if there were no vaccine yet developed for it	vaccine	   if a deadly and highly transmissible virus worse than covid  should sta spreading in the uk in the future what should the initial response be if there were no  yet developed for it	deadly highly transmissible virus worse covid sta spreading uk future initial response yet developed
82	 G84https://t.co/mHJh9Y1mkf	1.0	0.0	2023-08-03 12:10	 g8	vaccine	 g8	g8
83	RT @SenatorRennick: There may valid reasons why Dazelle isn't compatible for a lung, but not getting a Covid vaccine isn't one of them. She would not be a threat to others because the vaccine doesn't stop transmission.   It should also be noted that the Covid vaccine was never tested for	1.0	0.0	2023-08-03 12:17	  there may valid reasons why dazelle isnt compatible for a lung but not getting a covid vaccine isnt one of them she would not be a threat to others because the vaccine doesnt stop transmission   it should also be noted that the covid vaccine was never tested for	vaccine	  there may valid reasons why dazelle isnt compatible for a lung but not getting a covid  isnt one of them she would not be a threat to others because the  doesnt stop transmission   it should also be noted that the covid  was never tested for	may valid reasons dazelle isnt compatible lung getting covid isnt one would threat others doesnt stop transmission also noted covid never tested
85	"RT @VigilantFox: The Unseen Crisis: Vaccine Stories You Were Never ToldThe vaccine-injured have been ignored and abandoned by the very governments that told them to ""do the right thing.""Now, they're on their own, swamped with medical bills, and gaslit by doctors who tell them, ""It's in your https://t.co/1e6Q0xB9y8"	1.0	1.0	2023-08-03 12:35	  the unseen crisis vaccine stories you were never toldthe vaccine njured have been ignored and abandoned by the very governments that told them to do the right thingnow theyre on their own swamped with medical bills and gaslit by doctors who tell them its in your 	vaccine	  the unseen crisis  stories you were never toldthe  njured have been ignored and abandoned by the very governments that told them to do the right thingnow theyre on their own swamped with medical bills and gaslit by doctors who tell them its in your 	unseen crisis stories never toldthe njured ignored abandoned governments told right thingnow theyre swamped medical bills gaslit doctors tell
86	RT @mattjcan: This evening the Australian Senate will question Pfizer and Moderna about why vaccines were mandated when there was no evidence they stopped transmission.Making people get a COVID vaccine to keep their job was one of the greatest injustices of our age. 1000s of lives have been https://t.co/QKpyBPzQ8c	1.0	0.0	2023-08-03 12:47	  this evening the australian senate will question pfizer and moderna about why vaccine  were mandated when there was no evidence they stopped transmissionmaking people get a covid vaccine to keep their job was one of the greatest injustices of our age s of lives have been 	vaccine	  this evening the australian senate will question pfizer and moderna about why   were mandated when there was no evidence they stopped transmissionmaking people get a covid  to keep their job was one of the greatest injustices of our age s of lives have been 	evening australian senate question pfizer moderna mandated evidence stopped transmissionmaking people get covid keep job one greatest injustices age lives
